lng,lat,num
120.44083333333333,23.46277777777698,0
120.40536020865082,23.467723788606417,1
120.3697048753633,23.468343188146644,2
120.34312288016226,23.465273548389295,3
120.32848753661007,23.460072583167086,4
120.32167735201065,23.455410710366344,5
120.3217259102557,23.451877382072244,6
120.32539558971871,23.449092523275418,7
120.33431351265357,23.447923618212045,8
120.34833772724409,23.448303273869946,9
120.37016688284133,23.44443932201166,10
120.39341323938238,23.43667145428628,11
120.41249477898963,23.423472203886767,12
120.43404470994452,23.419627579628454,13
120.45728885577249,23.417461495362712,14
120.47542847052434,23.41533065549566,15
120.4737345807575,23.408490508303096,16
120.4737033924397,23.39506695222047,17
120.47342606227569,23.383783920635302,18
120.46767967248955,23.38228692877625,19
120.45680085723629,23.384818300888647,20
120.43885602724946,23.38922293096525,21
120.42029290611922,23.40416070785173,22
120.38701857998355,23.414450316729035,23
120.3470761611264,23.41941641284914,24
120.31221252952865,23.41951012794314,25
120.28348124909863,23.42056267012755,26
120.26000219351462,23.424021803120986,27
120.23295249535134,23.427270188596427,28
120.21120752177887,23.429219708123828,29
120.1982956361066,23.431144036986026,30
120.19403538639875,23.43338919382705,31
120.19357166211925,23.434548201843093,32
120.19715107554045,23.43416353647502,33
120.21081254919811,23.430602792538405,34
120.23436257394992,23.423327322874965,35
120.25780939648457,23.4100137047868,36
120.28279643546936,23.40792311437213,37
120.31217526863306,23.4047846175999,38
120.34218948784284,23.390798907179043,39
120.36311374480182,23.374701325639652,40
120.37615346158955,23.362265495532515,41
120.38242984119326,23.356492250137794,42
120.38147807907919,23.356546931732048,43
120.37159357400267,23.364020086303164,44
120.35242349951159,23.37855663064625,45
120.33011528906513,23.38923638410738,46
120.30479327906652,23.398006619066205,47
120.27667292938736,23.372079159631667,48
120.26153665809525,23.35348119308902,49
120.26144149155981,23.35405966624084,50
120.2573038892196,23.35882776457546,51
120.25017320563776,23.36645144299571,52
120.24260576292323,23.3757073201089,53
120.23497775779602,23.38410290474592,54
120.22792042109315,23.38535898350129,55
120.22469523040253,23.383363838846858,56
120.22148938598737,23.376790439547044,57
120.2213873711878,23.3645480890059,58
120.22183262100187,23.351907740818586,59
120.22240167976095,23.340087099327476,60
120.22700068625142,23.327606182755044,61
120.23144670960006,23.325147205490715,62
120.23138064029966,23.321118013723517,63
120.23146329172197,23.31619520993706,64
120.23154159144065,23.311579653512695,65
120.23150152416704,23.308803272987586,66
120.23145547311434,23.310223224347222,67
120.22527912816868,23.317042947475034,68
120.2130926598915,23.328413237685872,69
120.19694454963265,23.351316479205394,70
120.18374576413827,23.3763826387058,71
120.17577977462018,23.378380596163083,72
120.16609734426682,23.384247613307558,73
120.1574387888984,23.396126709771142,74
120.15168677979662,23.407188441699816,75
