TWD97_x,TWD97_y,zp
194748.26175527967,2596184.954715116,50.0
194748.26175527967,2596184.954715116,50.0
194748.16848639346,2596184.9807591997,50.0
194747.98194862105,2596185.032847367,50.0
194747.70214196242,2596185.1109796185,50.0
194747.3290664176,2596185.2151559535,50.0
194746.86272198654,2596185.3453763723,50.0
194746.3031086693,2596185.501640875,50.0
194745.65022646583,2596185.683949461,50.0
194744.90407537617,2596185.8923021313,50.0
194744.0646554003,2596186.126698885,50.0
194743.1319665382,2596186.3871397227,50.0
194742.1060087899,2596186.673624644,50.0
194740.9867821554,2596186.986153649,50.0
194739.7742866347,2596187.324726738,50.0
194738.46852222778,2596187.6893439107,50.0
194737.06948893465,2596188.080005167,50.0
194735.5771867553,2596188.496710507,50.0
194733.99161568977,2596188.939459931,50.0
194732.312775738,2596189.408253439,50.0
194730.54066690005,2596189.90309103,50.0
194728.67528917588,2596190.4239727054,50.0
194726.7166425655,2596190.9708984643,50.0
194724.6647270689,2596191.543868307,50.0
194722.51954268612,2596192.1428822335,50.0
194720.2810894171,2596192.7679402437,50.0
194717.9493672619,2596193.4190423377,50.0
194715.52437622048,2596194.0961885154,50.0
194713.00611629285,2596194.799378777,50.0
194710.394587479,2596195.528613122,50.0
194707.68978977896,2596196.283891551,50.0
194704.8917231927,2596197.065214064,50.0
194702.00038772024,2596197.8725806605,50.0
194699.01578336157,2596198.705991341,50.0
194695.93791011669,2596199.565446105,50.0
194692.7667679856,2596200.4509449527,50.0
194689.5023569683,2596201.3624878842,50.0
194686.1446770648,2596202.3000748996,50.0
194682.69372827507,2596203.2637059987,50.0
194679.14951059915,2596204.2533811815,50.0
194675.51202403702,2596205.269100448,50.0
194671.78126858867,2596206.3108637985,50.0
194667.95724425412,2596207.3786712326,50.0
194664.03995103337,2596208.4725227505,50.0
194660.0293889264,2596209.592418352,50.0
194655.92555793322,2596210.7383580375,50.0
194651.72845805384,2596211.9103418067,50.0
194647.43808928825,2596213.1083696596,50.0
194643.05445163645,2596214.3324415963,50.0
194638.57754509844,2596215.5825576168,50.0
194634.00736967422,2596216.858717721,50.0
194629.3439253638,2596218.160921909,50.0
194624.58721216716,2596219.4891701806,50.0
194619.7372300843,2596220.843462536,50.0
194614.79397911526,2596222.2237989753,50.0
194609.75745926,2596223.6301794983,50.0
194604.62767051853,2596225.062604105,50.0
194599.40461289085,2596226.5210727956,50.0
194594.08828637697,2596228.00558557,50.0
194588.67869097687,2596229.516142428,50.0
194583.17582669057,2596231.0527433697,50.0
194577.57969351806,2596232.6153883953,50.0
194571.89029145933,2596234.2040775046,50.0
194566.1076205144,2596235.8188106976,50.0
194560.23168068327,2596237.4595879745,50.0
194554.26247196592,2596239.126409335,50.0
194548.19999436237,2596240.8192747794,50.0
194542.0442478726,2596242.5381843075,50.0
194535.79523249663,2596244.2831379194,50.0
194529.45294823445,2596246.054135615,50.0
194523.01739508606,2596247.8511773944,50.0
194516.48857305147,2596249.6742632575,50.0
194509.86648213066,2596251.5233932044,50.0
194503.15112232364,2596253.398567235,50.0
194496.34249363042,2596255.2997853495,50.0
194489.440596051,2596257.2270475477,50.0
194482.44542958535,2596259.1803538296,50.0
194475.3569942335,2596261.1597041953,50.0
194468.17528999544,2596263.165098645,50.0
194460.90031687118,2596265.196537178,50.0
194453.5320748607,2596267.254019795,50.0
194446.07056396402,2596269.3375464957,50.0
194438.51578418113,2596271.44711728,50.0
194430.86773551203,2596273.5827321485,50.0
194423.12641795672,2596275.7443911005,50.0
194415.2918315152,2596277.9320941363,50.0
194407.36397618748,2596280.145841256,50.0
194399.34285197355,2596282.385632459,50.0
194391.2284588734,2596284.651467746,50.0
194383.02079688705,2596286.943347117,50.0
194374.7198660145,2596289.2612705715,50.0
194366.32566625573,2596291.60523811,50.0
194357.83819761075,2596293.975249732,50.0
194349.25746007956,2596296.3713054378,50.0
194340.58345366217,2596298.7934052274,50.0
194331.81617835857,2596301.2415491007,50.0
194322.95563416876,2596303.715737058,50.0
194314.00182109274,2596306.2159690987,50.0
194304.9547391305,2596308.7422452234,50.0
194295.81438828207,2596311.294565432,50.0
194286.58076854743,2596313.872929724,50.0
194277.25387992657,2596316.4773381,50.0
194267.8337224195,2596319.1077905595,50.0
194258.32029602624,2596321.764287103,50.0
194248.71360074676,2596324.44682773,50.0
194239.01363658108,2596327.155412441,50.0
194229.22040352918,2596329.890041236,50.0
194219.33390159108,2596332.6507141143,50.0
194209.35413076676,2596335.4374310765,50.0
194199.28109105624,2596338.2501921225,50.0
194189.1147824595,2596341.0889972523,50.0
194178.85520497657,2596343.953846466,50.0
194168.50235860742,2596346.844739763,50.0
194158.05624335207,2596349.761677144,50.0
194147.5168592105,2596352.704658609,50.0
194136.88420618273,2596355.6736841574,50.0
194126.15828426875,2596358.6687537897,50.0
194115.33909346856,2596361.689867506,50.0
194104.42663378216,2596364.7370253056,50.0
194093.42090520955,2596367.810227189,50.0
194082.32190775074,2596370.9094731566,50.0
194071.1296414057,2596374.0347632077,50.0
194059.84410617448,2596377.1860973425,50.0
194048.46530205704,2596380.363475561,50.0
194036.9932290534,2596383.5668978635,50.0
194025.42788716353,2596386.7963642497,50.0
194013.76927638747,2596390.0518747196,50.0
194002.0173967252,2596393.333429273,50.0
193990.1722481767,2596396.6410279106,50.0
193978.233830742,2596399.974670632,50.0
193966.2021444211,2596403.3343574367,50.0
193954.077189214,2596406.7200883254,50.0
193941.8589651207,2596410.131863298,50.0
193929.54747214116,2596413.569682354,50.0
193917.14271027542,2596417.033545494,50.0
193904.64467952348,2596420.523452718,50.0
193892.05337988533,2596424.0394040253,50.0
193879.36881136097,2596427.5813994166,50.0
193866.5909739504,2596431.1494388916,50.0
193853.71986765362,2596434.7435224503,50.0
193840.75549247063,2596438.363650093,50.0
193827.69784840144,2596442.009821819,50.0
193814.54693544604,2596445.682037629,50.0
193801.30275360442,2596449.380297523,50.0
193787.9653028766,2596453.1046015006,50.0
193774.53458326258,2596456.854949562,50.0
193761.01059476234,2596460.631341707,50.0
193747.3933373759,2596464.433777936,50.0
