xp,yp,Hour,ymdh,zp
194748.26175527967,2596184.954715116,hour=0,ymd=2022061612_50,50.0
191503.49379996158,2596597.8281032573,hour=1,ymd=2022061611_50,50.0
188351.1978011722,2596738.5376579636,hour=2,ymd=2022061610_50,50.0
185963.8644915963,2596827.315420373,hour=3,ymd=2022061609_50,50.0
185113.65364526905,2596833.9754013405,hour=4,ymd=2022061608_50,50.0
185184.6273940014,2597315.8097294406,hour=5,ymd=2022061607_50,50.0
185977.14038274757,2598475.415133281,hour=6,ymd=2022061606_50,50.0
186889.5195802445,2599589.2629475766,hour=7,ymd=2022061605_50,50.0
189338.09966157324,2601281.5308664464,hour=8,ymd=2022061604_50,50.0
192438.9069097782,2602793.2695493945,hour=9,ymd=2022061603_50,50.0
195909.70433729835,2604953.840212869,hour=10,ymd=2022061602_50,50.0
197981.15720540233,2607478.3923474723,hour=11,ymd=2022061601_50,50.0
197974.53414044477,2610120.679476375,hour=12,ymd=2022061600_50,50.0
197965.08816747315,2612269.1560450816,hour=13,ymd=2022061523_50,50.0
197991.55302165396,2613941.673534038,hour=14,ymd=2022061522_50,50.0
198041.79042631708,2615659.6686147996,hour=15,ymd=2022061521_50,50.0
198236.15488359652,2617570.1836916157,hour=16,ymd=2022061520_50,50.0
199185.8603007006,2618770.844705513,hour=17,ymd=2022061519_50,50.0
199977.66374413244,2619513.8024828197,hour=18,ymd=2022061518_50,50.0
200382.4575683134,2619840.3300974877,hour=19,ymd=2022061517_50,50.0
200338.74543317914,2619752.685036993,hour=20,ymd=2022061516_50,50.0
199811.23916209996,2619292.5543813766,hour=21,ymd=2022061515_50,50.0
198790.85870148003,2618541.054857111,hour=22,ymd=2022061514_50,50.0
196649.481843376,2617004.2985000745,hour=23,ymd=2022061513_50,50.0
194935.99338182196,2616631.117116934,hour=24,ymd=2022061512_50,50.0
193278.0727738975,2615189.481779462,hour=25,ymd=2022061511_50,50.0
191468.00298236444,2614137.731313801,hour=26,ymd=2022061510_50,50.0
190220.94326354697,2612755.766086972,hour=27,ymd=2022061509_50,50.0
189297.79520791903,2611833.086255061,hour=28,ymd=2022061508_50,50.0
188979.00800358265,2611837.5730220466,hour=29,ymd=2022061507_50,50.0
189040.48682379484,2611835.0409069615,hour=30,ymd=2022061506_50,50.0
189641.2331788516,2612216.637388203,hour=31,ymd=2022061505_50,50.0
190811.26133578777,2613075.3659515413,hour=32,ymd=2022061504_50,50.0
192801.313708601,2614434.3059777054,hour=33,ymd=2022061503_50,50.0
196009.82696097106,2615909.7831705767,hour=34,ymd=2022061502_50,50.0
198065.70764077216,2617998.0132708955,hour=35,ymd=2022061501_50,50.0
