xp,yp,Hour,ymdh,zp
197968.5041065886,2592785.835490725,hour=41,ymd=2022071419_50,50.0
197968.38934965053,2592471.563247869,hour=42,ymd=2022071418_50,50.0
197980.89307784283,2592223.7978803,hour=43,ymd=2022071417_50,50.0
197968.47431274498,2592020.0939710946,hour=44,ymd=2022071416_50,50.0
197963.34761621797,2591844.8754941435,hour=45,ymd=2022071415_50,50.0
197710.39261082554,2591581.4145100624,hour=46,ymd=2022071414_50,50.0
197186.52267868066,2591187.792954123,hour=47,ymd=2022071413_50,50.0
193973.10156042123,2591261.9605647256,hour=48,ymd=2022071412_50,50.0
191180.69782114768,2591822.6009895937,hour=49,ymd=2022071411_50,50.0
188463.75171223277,2592625.5742034377,hour=50,ymd=2022071410_50,50.0
186553.05133053655,2593239.325675151,hour=51,ymd=2022071409_50,50.0
185719.95233226562,2593831.3865908072,hour=52,ymd=2022071408_50,50.0
185539.31468994956,2593838.3761585937,hour=53,ymd=2022071407_50,50.0
186012.67143520009,2593832.314743437,hour=54,ymd=2022071406_50,50.0
186949.05257142748,2593834.4503106126,hour=55,ymd=2022071405_50,50.0
188527.35521383252,2593863.4892282956,hour=56,ymd=2022071404_50,50.0
190671.13283306028,2593912.327206527,hour=57,ymd=2022071403_50,50.0
192834.34389203455,2594022.189792526,hour=58,ymd=2022071402_50,50.0
194774.1302448478,2594275.470266548,hour=59,ymd=2022071401_50,50.0
196199.90775108006,2594516.5125933113,hour=60,ymd=2022071400_50,50.0
197590.74865072634,2594504.113542122,hour=61,ymd=2022071323_50,50.0
197975.63713721413,2593806.0495721353,hour=62,ymd=2022071322_50,50.0
197989.16305206198,2593506.916027534,hour=63,ymd=2022071321_50,50.0
197974.3237706818,2593142.429887591,hour=64,ymd=2022071320_50,50.0
197978.30931637663,2592786.926949179,hour=65,ymd=2022071319_50,50.0
197960.73896733526,2592464.518980196,hour=66,ymd=2022071318_50,50.0
197964.50768609013,2592213.0086980015,hour=67,ymd=2022071317_50,50.0
197955.65987722244,2592010.6612315457,hour=68,ymd=2022071316_50,50.0
197950.53318069543,2591835.4427545946,hour=69,ymd=2022071315_50,50.0
197697.578175303,2591571.9817705136,hour=70,ymd=2022071314_50,50.0
197173.70824315812,2591178.3602145743,hour=71,ymd=2022071313_50,50.0
193964.0369184282,2591258.9842684157,hour=72,ymd=2022071312_50,50.0
191165.37803470757,2591823.698667894,hour=73,ymd=2022071311_50,50.0
188447.23556435521,2592624.9774122415,hour=74,ymd=2022071310_50,50.0
186536.535182659,2593238.7288839547,hour=75,ymd=2022071309_50,50.0
185706.58679295,2593833.480692656,hour=76,ymd=2022071308_50,50.0
185522.11916570406,2593831.439374865,hour=77,ymd=2022071307_50,50.0
186012.27528836246,2593835.101111622,hour=78,ymd=2022071306_50,50.0
186940.2376393829,2593833.117485622,hour=79,ymd=2022071305_50,50.0
188518.54028178792,2593862.156403305,hour=80,ymd=2022071304_50,50.0
190662.9868452851,2593911.412062257,hour=81,ymd=2022071303_50,50.0
192830.05678203743,2594018.8833085815,hour=82,ymd=2022071302_50,50.0
194769.84313485067,2594272.1637826036,hour=83,ymd=2022071301_50,50.0
196197.13395682018,2594512.898280732,hour=84,ymd=2022071300_50,50.0
197587.97485646646,2594500.4992295424,hour=85,ymd=2022071223_50,50.0
197992.10631841648,2593815.012512376,hour=86,ymd=2022071222_50,50.0
197986.3819967531,2593507.0065214015,hour=87,ymd=2022071221_50,50.0
197979.21937573183,2593146.249583242,hour=88,ymd=2022071220_50,50.0
197985.8889827751,2592792.053786689,hour=89,ymd=2022071219_50,50.0
197968.74963600788,2592469.8466998334,hour=90,ymd=2022071218_50,50.0
197957.70200964104,2592211.984283969,hour=91,ymd=2022071217_50,50.0
197956.33089038025,2592012.47686952,hour=92,ymd=2022071216_50,50.0
197951.20419385325,2591837.2583925687,hour=93,ymd=2022071215_50,50.0
197698.24918846082,2591573.7974084876,hour=94,ymd=2022071214_50,50.0
197174.37925631594,2591180.1758525483,hour=95,ymd=2022071213_50,50.0
193964.70793158602,2591260.79990639,hour=96,ymd=2022071212_50,50.0
191166.04904786538,2591825.514305868,hour=97,ymd=2022071211_50,50.0
188447.90657751303,2592626.7930502156,hour=98,ymd=2022071210_50,50.0
186537.2061958168,2593240.5445219288,hour=99,ymd=2022071209_50,50.0
185707.3251746655,2593835.44997833,hour=100,ymd=2022071208_50,50.0
185520.56811508717,2593828.010309943,hour=101,ymd=2022071207_50,50.0
186011.601477934,2593833.848346728,hour=102,ymd=2022071206_50,50.0
186940.16877160402,2593832.160710657,hour=103,ymd=2022071205_50,50.0
188520.2750696856,2593861.816542218,hour=104,ymd=2022071204_50,50.0
190664.72163318278,2593911.07220117,hour=105,ymd=2022071203_50,50.0
192831.7915699351,2594018.5434474945,hour=106,ymd=2022071202_50,50.0
194771.57792274834,2594271.8239215165,hour=107,ymd=2022071201_50,50.0
196197.3554289806,2594512.86624828,hour=108,ymd=2022071200_50,50.0
197588.1963286269,2594500.4671970904,hour=109,ymd=2022071123_50,50.0
197972.64318870375,2593806.894822715,hour=110,ymd=2022071122_50,50.0
197985.98919479916,2593507.678358054,hour=111,ymd=2022071121_50,50.0
197974.4537925608,2593144.7971910303,hour=112,ymd=2022071120_50,50.0
197980.40076770255,2592790.249471669,hour=113,ymd=2022071119_50,50.0
197975.3294846117,2592473.6670843572,hour=114,ymd=2022071118_50,50.0
197961.40704501228,2592214.5721649453,hour=115,ymd=2022071117_50,50.0
197969.85605538444,2592018.7949680574,hour=116,ymd=2022071116_50,50.0
197964.72935885744,2591843.5764911063,hour=117,ymd=2022071115_50,50.0
197711.774353465,2591580.1155070253,hour=118,ymd=2022071114_50,50.0
197187.90442132013,2591186.493951086,hour=119,ymd=2022071113_50,50.0
193974.4833030607,2591260.6615616884,hour=120,ymd=2022071112_50,50.0
191182.07956378715,2591821.3019865565,hour=121,ymd=2022071111_50,50.0
