xp,yp,Hour,ymdh,zp
179195.47552038115,2507359.697338924,hour=0,ymd=2022050212_50,50.0
180779.43665778023,2506581.1616149023,hour=1,ymd=2022050211_50,50.0
182298.35684304815,2506281.6064722314,hour=2,ymd=2022050210_50,50.0
183397.24779939037,2505855.262292073,hour=3,ymd=2022050209_50,50.0
184070.77749421578,2504981.686929361,hour=4,ymd=2022050208_50,50.0
184442.90559636187,2504208.339043976,hour=5,ymd=2022050207_50,50.0
184961.40414598715,2503436.15273849,hour=6,ymd=2022050206_50,50.0
185705.3665019883,2502605.8964854563,hour=7,ymd=2022050205_50,50.0
186095.24273976256,2501542.9984414214,hour=8,ymd=2022050204_50,50.0
186188.16746603456,2500833.064912786,hour=9,ymd=2022050203_50,50.0
186178.42751001232,2500834.895899498,hour=10,ymd=2022050202_50,50.0
186314.19500187636,2500833.2246496165,hour=11,ymd=2022050201_50,50.0
186671.48911729237,2500833.673282937,hour=12,ymd=2022050200_50,50.0
187318.07741880478,2500840.935151861,hour=13,ymd=2022050123_50,50.0
188320.69676475288,2500829.2050114656,hour=14,ymd=2022050122_50,50.0
189762.1738578944,2500847.5965042124,hour=15,ymd=2022050121_50,50.0
191648.62784158872,2500846.053610527,hour=16,ymd=2022050120_50,50.0
193720.1952112584,2503189.667487872,hour=17,ymd=2022050119_50,50.0
195707.90572365062,2506863.137852703,hour=18,ymd=2022050118_50,50.0
197192.723035772,2510105.498097752,hour=19,ymd=2022050117_50,50.0
198299.78576842477,2513417.94319952,hour=20,ymd=2022050116_50,50.0
199657.3417807721,2516700.1854176344,hour=21,ymd=2022050115_50,50.0
201509.86901192894,2519783.1478762003,hour=22,ymd=2022050114_50,50.0
203626.91428336283,2522883.8314486416,hour=23,ymd=2022050113_50,50.0
204338.94677594458,2527689.3578909906,hour=24,ymd=2022050112_50,50.0
205097.1212181278,2530898.348056418,hour=25,ymd=2022050111_50,50.0
206190.7492503353,2532447.044688952,hour=26,ymd=2022050110_50,50.0
207290.85777251484,2534211.313059089,hour=27,ymd=2022050109_50,50.0
208729.0951356149,2535626.5021581026,hour=28,ymd=2022050108_50,50.0
210196.01051380546,2536680.1856156336,hour=29,ymd=2022050107_50,50.0
212006.1219202137,2537016.2876898805,hour=30,ymd=2022050106_50,50.0
212995.19820274474,2537334.9378345637,hour=31,ymd=2022050105_50,50.0
212980.28400814594,2537952.487560208,hour=32,ymd=2022050104_50,50.0
212986.87287783684,2538549.653368622,hour=33,ymd=2022050103_50,50.0
213039.08209687533,2539194.725189686,hour=34,ymd=2022050102_50,50.0
213043.2437055564,2539832.003372945,hour=35,ymd=2022050101_50,50.0
212981.59153471948,2540096.5227698213,hour=36,ymd=2022050100_50,50.0
212980.85986017497,2540632.7195265717,hour=37,ymd=2022043023_50,50.0
212844.46546891952,2541259.0772450916,hour=38,ymd=2022043022_50,50.0
212219.53337947154,2542178.356763666,hour=39,ymd=2022043021_50,50.0
211243.69393097484,2544370.6369848526,hour=40,ymd=2022043020_50,50.0
210254.61810790622,2548244.2077419437,hour=41,ymd=2022043019_50,50.0
209975.93229407692,2551144.4389803237,hour=42,ymd=2022043018_50,50.0
209980.81001013765,2553370.481614051,hour=43,ymd=2022043017_50,50.0
209989.10786152413,2556158.2176222145,hour=44,ymd=2022043016_50,50.0
209982.6753312644,2560022.1586583196,hour=45,ymd=2022043015_50,50.0
209985.94358422016,2561986.8911720454,hour=46,ymd=2022043014_50,50.0
211118.05760853147,2563383.5553852855,hour=47,ymd=2022043013_50,50.0
211382.63158371267,2563832.044473262,hour=48,ymd=2022043012_50,50.0
211622.42461807063,2563828.8369343183,hour=49,ymd=2022043011_50,50.0
211791.03743260694,2563837.042804224,hour=50,ymd=2022043010_50,50.0
211930.17510099072,2563824.3623769837,hour=51,ymd=2022043009_50,50.0
212107.06906364593,2563831.6427157777,hour=52,ymd=2022043008_50,50.0
212414.2503235295,2563826.5159825603,hour=53,ymd=2022043007_50,50.0
212940.4835705414,2563832.326332092,hour=54,ymd=2022043006_50,50.0
213403.16544192858,2563445.69156248,hour=55,ymd=2022043005_50,50.0
214070.943305595,2563112.1709510298,hour=56,ymd=2022043004_50,50.0
214891.88653397388,2562914.2450443828,hour=57,ymd=2022043003_50,50.0
215760.92699068613,2562885.65528903,hour=58,ymd=2022043002_50,50.0
215985.78891394302,2563043.7697173026,hour=59,ymd=2022043001_50,50.0
215974.24634270198,2563438.317637852,hour=60,ymd=2022043000_50,50.0
215976.83274183344,2563831.2253097803,hour=61,ymd=2022042923_50,50.0
215574.57378685023,2563832.868303156,hour=62,ymd=2022042922_50,50.0
214718.46025441136,2563832.556291102,hour=63,ymd=2022042921_50,50.0
213441.0469137236,2563831.763492257,hour=64,ymd=2022042920_50,50.0
212175.89353876855,2563834.5000751805,hour=65,ymd=2022042919_50,50.0
210829.38591868352,2563834.750186105,hour=66,ymd=2022042918_50,50.0
209985.38762107785,2563835.39308152,hour=67,ymd=2022042917_50,50.0
209969.88886584077,2563844.0719289375,hour=68,ymd=2022042916_50,50.0
209983.46593476567,2563827.150259106,hour=69,ymd=2022042915_50,50.0
210079.26112492537,2563838.0414707907,hour=70,ymd=2022042914_50,50.0
211405.04097946887,2563829.543108909,hour=71,ymd=2022042913_50,50.0
211716.60903959876,2563839.0315533564,hour=72,ymd=2022042912_50,50.0
211955.78411556096,2563841.2691290756,hour=73,ymd=2022042911_50,50.0
212125.3946772373,2563839.5790242334,hour=74,ymd=2022042910_50,50.0
212264.2441444743,2563830.9757943475,hour=75,ymd=2022042909_50,50.0
212441.47140391046,2563824.345371662,hour=76,ymd=2022042908_50,50.0
212749.07430877598,2563830.334656226,hour=77,ymd=2022042907_50,50.0
213087.6344377479,2563614.6995975547,hour=78,ymd=2022042906_50,50.0
213533.44207654955,2563208.0295614623,hour=79,ymd=2022042905_50,50.0
214201.21994021596,2562874.5089500123,hour=80,ymd=2022042904_50,50.0
215022.16316859485,2562676.5830433653,hour=81,ymd=2022042903_50,50.0
215891.2036253071,2562647.9932880127,hour=82,ymd=2022042902_50,50.0
215982.02648902,2562809.107603437,hour=83,ymd=2022042901_50,50.0
215976.814271812,2563202.5519484007,hour=84,ymd=2022042900_50,50.0
215977.07144140513,2563696.225881767,hour=85,ymd=2022042823_50,50.0
215592.39690234946,2563827.933435735,hour=86,ymd=2022042822_50,50.0
214736.16510343985,2563825.6215481167,hour=87,ymd=2022042821_50,50.0
213458.70200890736,2563830.766974934,hour=88,ymd=2022042820_50,50.0
212187.45961456434,2563845.323833347,hour=89,ymd=2022042819_50,50.0
210840.50500394465,2563823.3485963945,hour=90,ymd=2022042818_50,50.0
209983.31510601254,2563836.1785144606,hour=91,ymd=2022042817_50,50.0
209972.86522943215,2563844.37700885,hour=92,ymd=2022042816_50,50.0
209985.72896729843,2563820.7762116683,hour=93,ymd=2022042815_50,50.0
210080.6192312312,2563841.063680139,hour=94,ymd=2022042814_50,50.0
211404.913947947,2563843.3408902404,hour=95,ymd=2022042813_50,50.0
211717.67865341032,2563841.6507348274,hour=96,ymd=2022042812_50,50.0
211957.9825333754,2563833.9419010957,hour=97,ymd=2022042811_50,50.0
212127.10827425835,2563837.0604037014,hour=98,ymd=2022042810_50,50.0
212266.24594264213,2563824.379976461,hour=99,ymd=2022042809_50,50.0
212443.13990529734,2563831.660315255,hour=100,ymd=2022042808_50,50.0
212750.33837518017,2563826.9872970493,hour=101,ymd=2022042807_50,50.0
213089.24498429723,2563614.450838286,hour=102,ymd=2022042806_50,50.0
213535.05262309886,2563207.7808021936,hour=103,ymd=2022042805_50,50.0
214202.83048676528,2562874.2601907435,hour=104,ymd=2022042804_50,50.0
215023.77371514417,2562676.3342840965,hour=105,ymd=2022042803_50,50.0
215892.81417185641,2562647.744528744,hour=106,ymd=2022042802_50,50.0
215974.42744176477,2562809.064961267,hour=107,ymd=2022042801_50,50.0
215976.27425243534,2563201.2787003624,hour=108,ymd=2022042800_50,50.0
215973.2558804305,2563696.282449298,hour=109,ymd=2022042723_50,50.0
215588.60439786423,2563828.1605424625,hour=110,ymd=2022042722_50,50.0
214732.52520085234,2563828.429139443,hour=111,ymd=2022042721_50,50.0
213455.0974735107,2563829.353417898,hour=112,ymd=2022042720_50,50.0
212185.2862748589,2563837.1460477174,hour=113,ymd=2022042719_50,50.0
210838.447794133,2563820.9450433017,hour=114,ymd=2022042718_50,50.0
209971.4571974307,2563822.9842578606,hour=115,ymd=2022042717_50,50.0
209979.12504257928,2563830.5939951357,hour=116,ymd=2022042716_50,50.0
209983.510409563,2563823.016623842,hour=117,ymd=2022042715_50,50.0
210078.21106990534,2563845.2728318297,hour=118,ymd=2022042714_50,50.0
211403.09405550096,2563843.281795886,hour=119,ymd=2022042713_50,50.0
211715.90630978547,2563841.147457697,hour=120,ymd=2022042712_50,50.0
211956.7210353577,2563828.9373291773,hour=121,ymd=2022042711_50,50.0
