xp,yp,Hour,ymdh,zp
179195.47552038115,2507359.697338924,hour=0,ymd=2022060912_50,50.0
180950.75012860578,2506831.4668557197,hour=1,ymd=2022060911_50,50.0
183069.8599373823,2506836.1694399277,hour=2,ymd=2022060910_50,50.0
185330.89444006738,2506836.7614238253,hour=3,ymd=2022060909_50,50.0
187462.01316989717,2506835.739913742,hour=4,ymd=2022060908_50,50.0
189226.64306305107,2506828.131924298,hour=5,ymd=2022060907_50,50.0
190057.45075624195,2506831.1362474305,hour=6,ymd=2022060906_50,50.0
190621.8922503939,2506833.8015283397,hour=7,ymd=2022060905_50,50.0
190961.89842582718,2506835.778525418,hour=8,ymd=2022060904_50,50.0
191135.0585103132,2506991.2077878625,hour=9,ymd=2022060903_50,50.0
191158.26603424773,2507258.128478697,hour=10,ymd=2022060902_50,50.0
191056.42472109795,2507556.6935869516,hour=11,ymd=2022060901_50,50.0
190862.0094800465,2507793.365033737,hour=12,ymd=2022060900_50,50.0
190606.91797402725,2507888.4804665507,hour=13,ymd=2022060823_50,50.0
190320.43355886862,2507783.1448635855,hour=14,ymd=2022060822_50,50.0
190029.2251620911,2507439.2305606627,hour=15,ymd=2022060821_50,50.0
189757.34737717584,2506839.3772242987,hour=16,ymd=2022060820_50,50.0
189699.30682081231,2505712.7340387166,hour=17,ymd=2022060819_50,50.0
189828.24486527094,2504410.4034763933,hour=18,ymd=2022060818_50,50.0
190387.80632572123,2503361.708029846,hour=19,ymd=2022060817_50,50.0
191301.8581997032,2502609.99723647,hour=20,ymd=2022060816_50,50.0
192069.7783232002,2502180.9665056695,hour=21,ymd=2022060815_50,50.0
192392.26779977666,2502297.283079215,hour=22,ymd=2022060814_50,50.0
192743.48085253374,2502427.911101487,hour=23,ymd=2022060813_50,50.0
194219.869473864,2503415.953382608,hour=24,ymd=2022060812_50,50.0
195162.26692164005,2504453.2376366802,hour=25,ymd=2022060811_50,50.0
195137.51144207703,2505499.0947171994,hour=26,ymd=2022060810_50,50.0
194976.73746474148,2506067.0745145404,hour=27,ymd=2022060809_50,50.0
194979.7714923794,2506404.77656976,hour=28,ymd=2022060808_50,50.0
194802.7130171104,2506704.838874643,hour=29,ymd=2022060807_50,50.0
194369.62619352774,2506828.3520230255,hour=30,ymd=2022060806_50,50.0
193790.95603274243,2506829.241852959,hour=31,ymd=2022060805_50,50.0
193173.15947006518,2506834.0923916856,hour=32,ymd=2022060804_50,50.0
192586.13224799806,2506957.7632661285,hour=33,ymd=2022060803_50,50.0
192147.44675378376,2507375.0736538814,hour=34,ymd=2022060802_50,50.0
191940.5172462488,2507886.03842171,hour=35,ymd=2022060801_50,50.0
191746.10200519735,2508122.7098684954,hour=36,ymd=2022060800_50,50.0
191491.0104991781,2508217.825301309,hour=37,ymd=2022060723_50,50.0
191204.52608401948,2508112.489698344,hour=38,ymd=2022060722_50,50.0
190913.31768724197,2507768.575395421,hour=39,ymd=2022060721_50,50.0
190641.4399023267,2507168.722059057,hour=40,ymd=2022060720_50,50.0
190515.56387616662,2506149.577556343,hour=41,ymd=2022060719_50,50.0
190644.50192062525,2504847.2469940195,hour=42,ymd=2022060718_50,50.0
191075.3860028532,2503606.3110612715,hour=43,ymd=2022060717_50,50.0
191983.6315774989,2502861.272141897,hour=44,ymd=2022060716_50,50.0
192259.6108219844,2502950.397863799,hour=45,ymd=2022060715_50,50.0
192582.10029856084,2503066.714437344,hour=46,ymd=2022060714_50,50.0
192933.31335131792,2503197.3424596163,hour=47,ymd=2022060713_50,50.0
194485.67688021404,2504012.115049123,hour=48,ymd=2022060712_50,50.0
195286.13210979445,2505081.8772135517,hour=49,ymd=2022060711_50,50.0
195261.37663023142,2506127.734294071,hour=50,ymd=2022060710_50,50.0
194980.22157434156,2506722.672618012,hour=51,ymd=2022060709_50,50.0
194975.5254436188,2506834.181833522,hour=52,ymd=2022060708_50,50.0
194722.61456312114,2506832.7390580145,hour=53,ymd=2022060707_50,50.0
194258.32989769304,2506834.2905403343,hour=54,ymd=2022060706_50,50.0
193679.3532550099,2506834.0767409583,hour=55,ymd=2022060705_50,50.0
193058.9847108765,2506831.4803438624,hour=56,ymd=2022060704_50,50.0
192472.54486548217,2506955.7627296625,hour=57,ymd=2022060703_50,50.0
192033.85937126787,2507373.0731174154,hour=58,ymd=2022060702_50,50.0
191898.2839224205,2507739.8201844534,hour=59,ymd=2022060701_50,50.0
191703.86868136903,2507976.4916312387,hour=60,ymd=2022060700_50,50.0
191448.7771753498,2508071.6070640525,hour=61,ymd=2022060623_50,50.0
191162.29276019117,2507966.2714610873,hour=62,ymd=2022060622_50,50.0
190871.08436341365,2507622.3571581645,hour=63,ymd=2022060621_50,50.0
190599.2065784984,2507022.5038218005,hour=64,ymd=2022060620_50,50.0
190503.70419310537,2505955.226293898,hour=65,ymd=2022060619_50,50.0
190632.642237564,2504652.895731575,hour=66,ymd=2022060618_50,50.0
191119.32256110516,2503495.3178583896,hour=67,ymd=2022060617_50,50.0
191993.23839092525,2502789.72639405,hour=68,ymd=2022060616_50,50.0
192269.21763541075,2502878.8521159515,hour=69,ymd=2022060615_50,50.0
192591.7071119872,2502995.168689497,hour=70,ymd=2022060614_50,50.0
192942.92016474428,2503125.796711769,hour=71,ymd=2022060613_50,50.0
194480.49693106386,2503974.292248413,hour=72,ymd=2022060612_50,50.0
195280.95216064426,2505044.054412842,hour=73,ymd=2022060611_50,50.0
195256.19668108123,2506089.911493361,hour=74,ymd=2022060610_50,50.0
194982.14497325468,2506683.2590706497,hour=75,ymd=2022060609_50,50.0
194975.70131283617,2506834.41193029,hour=76,ymd=2022060608_50,50.0
194721.81364167845,2506829.0969253303,hour=77,ymd=2022060607_50,50.0
194257.5016576498,2506830.541611095,hour=78,ymd=2022060606_50,50.0
193678.31339651337,2506829.5657819575,hour=79,ymd=2022060605_50,50.0
193060.0623471531,2506833.1003962816,hour=80,ymd=2022060604_50,50.0
192473.035125086,2506956.7712707245,hour=81,ymd=2022060603_50,50.0
192034.3496308717,2507374.0816584774,hour=82,ymd=2022060602_50,50.0
191898.1494758077,2507742.0913543818,hour=83,ymd=2022060601_50,50.0
191703.73423475624,2507978.762801167,hour=84,ymd=2022060600_50,50.0
191448.642728737,2508073.878233981,hour=85,ymd=2022060523_50,50.0
191162.15831357837,2507968.5426310156,hour=86,ymd=2022060522_50,50.0
190870.94991680086,2507624.628328093,hour=87,ymd=2022060521_50,50.0
190599.0721318856,2507024.774991729,hour=88,ymd=2022060520_50,50.0
190502.8820414186,2505958.5872681704,hour=89,ymd=2022060519_50,50.0
190631.82008587723,2504656.256705847,hour=90,ymd=2022060518_50,50.0
191118.5004094184,2503498.678832662,hour=91,ymd=2022060517_50,50.0
191992.4162392385,2502793.087368322,hour=92,ymd=2022060516_50,50.0
192268.395483724,2502882.2130902237,hour=93,ymd=2022060515_50,50.0
192590.88496030043,2502998.529663769,hour=94,ymd=2022060514_50,50.0
192942.09801305752,2503129.157686041,hour=95,ymd=2022060513_50,50.0
194479.6747793771,2503977.653222685,hour=96,ymd=2022060512_50,50.0
195284.70580410692,2505042.8862105454,hour=97,ymd=2022060511_50,50.0
