xp,yp,Hour,ymdh,zp
250710.7407320906,2498602.533372312,hour=27,ymd=2022072209_50,50.0
247379.88969730778,2489144.0510047367,hour=28,ymd=2022072208_50,50.0
243939.1730943863,2480941.330058097,hour=29,ymd=2022072207_50,50.0
240444.12422408356,2472863.658611088,hour=30,ymd=2022072206_50,50.0
236332.18184025778,2464528.9633807233,hour=31,ymd=2022072205_50,50.0
231716.17438531114,2456089.49929577,hour=32,ymd=2022072204_50,50.0
227523.34839427663,2448377.421935587,hour=33,ymd=2022072203_50,50.0
223559.16316372348,2441723.2341145864,hour=34,ymd=2022072202_50,50.0
219864.9414657001,2435805.8035725644,hour=35,ymd=2022072201_50,50.0
216576.0317649488,2430135.1855953624,hour=36,ymd=2022072200_50,50.0
213822.07732342376,2424246.4841126343,hour=37,ymd=2022072123_50,50.0
211758.48875642015,2418062.3573036036,hour=38,ymd=2022072122_50,50.0
210522.39674180938,2412141.0968503645,hour=39,ymd=2022072121_50,50.0
209898.03573401837,2406661.5169531694,hour=40,ymd=2022072120_50,50.0
209855.4302543095,2401501.8243955364,hour=41,ymd=2022072119_50,50.0
209905.60857463937,2396830.717602848,hour=42,ymd=2022072118_50,50.0
210018.42203825834,2392358.283353447,hour=43,ymd=2022072117_50,50.0
210132.7714510712,2387812.80078788,hour=44,ymd=2022072116_50,50.0
209870.30534700985,2383815.909816145,hour=45,ymd=2022072115_50,50.0
209217.826240375,2380284.288447394,hour=46,ymd=2022072114_50,50.0
208275.24413423176,2376916.238032623,hour=47,ymd=2022072113_50,50.0
207236.713575139,2370841.126473292,hour=48,ymd=2022072112_50,50.0
207403.7032737516,2365164.9075045874,hour=49,ymd=2022072111_50,50.0
208447.40920109377,2360293.461023151,hour=50,ymd=2022072110_50,50.0
209982.70889651479,2355748.9191849073,hour=51,ymd=2022072109_50,50.0
211787.80242601858,2350871.9137622705,hour=52,ymd=2022072108_50,50.0
213531.03932287247,2346408.4988499274,hour=53,ymd=2022072107_50,50.0
215433.7649427101,2342359.9857423296,hour=54,ymd=2022072106_50,50.0
217172.15555155725,2338947.4149342766,hour=55,ymd=2022072105_50,50.0
219026.70130240248,2336489.6345031178,hour=56,ymd=2022072104_50,50.0
221047.96938540862,2334231.5388506567,hour=57,ymd=2022072103_50,50.0
223281.4031385787,2331827.719356275,hour=58,ymd=2022072102_50,50.0
225741.663370163,2329128.4709161585,hour=59,ymd=2022072101_50,50.0
228619.5150969781,2325708.888187087,hour=60,ymd=2022072100_50,50.0
232174.37050825433,2321314.592055059,hour=61,ymd=2022072023_50,50.0
235942.96534389333,2317103.1793214297,hour=62,ymd=2022072022_50,50.0
240201.45180530922,2312174.2692720806,hour=63,ymd=2022072021_50,50.0
245109.8212510504,2306545.4426883524,hour=64,ymd=2022072020_50,50.0
250573.78305648343,2300396.566815085,hour=65,ymd=2022072019_50,50.0
256299.1796303846,2293849.7727198964,hour=66,ymd=2022072018_50,50.0
261982.75805772917,2287168.4427499836,hour=67,ymd=2022072017_50,50.0
267802.12495490984,2282104.347762621,hour=68,ymd=2022072016_50,50.0
272933.9987185903,2279373.936335138,hour=69,ymd=2022072015_50,50.0
278556.7970550962,2277749.894654221,hour=70,ymd=2022072014_50,50.0
