xp,yp,Hour,ymdh,zp
301263.60048314865,2767355.824947714,hour=0,ymd=2022050412_50,50.0
318026.7627712184,2770762.804060391,hour=1,ymd=2022050411_50,50.0
335123.86302694614,2774254.5566594964,hour=2,ymd=2022050410_50,50.0
352297.1116459661,2776988.123453683,hour=3,ymd=2022050409_50,50.0
369706.6785269671,2779909.769139438,hour=4,ymd=2022050408_50,50.0
386056.3730514937,2783173.411852411,hour=5,ymd=2022050407_50,50.0
401436.33524724777,2786308.5665962463,hour=6,ymd=2022050406_50,50.0
416344.42894330557,2789369.939504928,hour=7,ymd=2022050405_50,50.0
431243.17073151405,2793011.978059373,hour=8,ymd=2022050404_50,50.0
446602.1535619193,2796164.2417267626,hour=9,ymd=2022050403_50,50.0
462104.2164609128,2799658.065670795,hour=10,ymd=2022050402_50,50.0
478539.24836638506,2803529.2325177407,hour=11,ymd=2022050401_50,50.0
495517.66525462206,2807932.4066845393,hour=12,ymd=2022050400_50,50.0
512813.75022461946,2813237.016715816,hour=13,ymd=2022050323_50,50.0
530138.5167610936,2818981.670749611,hour=14,ymd=2022050322_50,50.0
547130.1092336469,2825878.728014103,hour=15,ymd=2022050321_50,50.0
563421.9378623657,2834495.482147119,hour=16,ymd=2022050320_50,50.0
578815.6435469084,2844537.7348608887,hour=17,ymd=2022050319_50,50.0
593344.1343578689,2855384.5285519576,hour=18,ymd=2022050318_50,50.0
607126.3690269284,2866553.81292083,hour=19,ymd=2022050317_50,50.0
620418.0393779569,2877737.062019757,hour=20,ymd=2022050316_50,50.0
633237.2493496232,2888964.3769510007,hour=21,ymd=2022050315_50,50.0
645434.576850652,2900399.8138736403,hour=22,ymd=2022050314_50,50.0
656780.4568785124,2912223.500118158,hour=23,ymd=2022050313_50,50.0
669390.8729552322,2912824.997445205,hour=24,ymd=2022050312_50,50.0
681561.332894414,2914817.6580497194,hour=25,ymd=2022050311_50,50.0
694057.6964367025,2915969.074681869,hour=26,ymd=2022050310_50,50.0
706412.0618264668,2917753.841036698,hour=27,ymd=2022050309_50,50.0
719097.5301161103,2919729.5434768703,hour=28,ymd=2022050308_50,50.0
731755.882685452,2921836.524419492,hour=29,ymd=2022050307_50,50.0
744525.6889837079,2924415.5921839755,hour=30,ymd=2022050306_50,50.0
756599.8744801276,2926798.82148817,hour=31,ymd=2022050305_50,50.0
768950.9792375558,2928987.3162130695,hour=32,ymd=2022050304_50,50.0
780886.51491329,2930664.0078481864,hour=33,ymd=2022050303_50,50.0
793107.6291723542,2931746.8839264307,hour=34,ymd=2022050302_50,50.0
804999.6115110808,2934606.2242802475,hour=35,ymd=2022050301_50,50.0
817117.5016732209,2938306.4257008154,hour=36,ymd=2022050300_50,50.0
828677.5676368766,2943125.959824862,hour=37,ymd=2022050223_50,50.0
840038.0160905414,2949435.5599173326,hour=38,ymd=2022050222_50,50.0
850691.1225693219,2956793.8164670337,hour=39,ymd=2022050221_50,50.0
860671.378171622,2965184.2419488598,hour=40,ymd=2022050220_50,50.0
869681.0686286979,2974104.5208801497,hour=41,ymd=2022050219_50,50.0
877325.7036048167,2983595.0663654376,hour=42,ymd=2022050218_50,50.0
883721.1064789437,2993431.167602049,hour=43,ymd=2022050217_50,50.0
889026.9083692871,3003724.391246455,hour=44,ymd=2022050216_50,50.0
893722.9193826609,3014542.7138674427,hour=45,ymd=2022050215_50,50.0
898499.9729980372,3025327.1747951973,hour=46,ymd=2022050214_50,50.0
903072.0182242685,3036739.033606665,hour=47,ymd=2022050213_50,50.0
915552.333873152,3036318.612130994,hour=48,ymd=2022050212_50,50.0
925020.5837075107,3035957.003108234,hour=49,ymd=2022050211_50,50.0
936382.7646315091,3035522.461460538,hour=50,ymd=2022050210_50,50.0
950044.0880089395,3035338.7013199218,hour=51,ymd=2022050209_50,50.0
963565.1553609364,3036319.699039422,hour=52,ymd=2022050208_50,50.0
976551.5532076054,3038128.5155211836,hour=53,ymd=2022050207_50,50.0
987008.9214932017,3040307.623568639,hour=54,ymd=2022050206_50,50.0
997841.0876812034,3039632.9452731404,hour=55,ymd=2022050205_50,50.0
1009075.7204934352,3038457.0112606753,hour=56,ymd=2022050204_50,50.0
