TWD97_x,TWD97_y,zp
214690.85501306076,2669881.8573183604,50.0
214690.85501306076,2669881.8573183604,50.0
214690.85421082415,2669881.847237628,50.0
214690.85260635093,2669881.827076163,50.0
214690.8501996411,2669881.796833966,50.0
214690.84699069467,2669881.7565110363,50.0
214690.84297951162,2669881.7061073743,50.0
214690.83816609197,2669881.64562298,50.0
214690.8325504357,2669881.575057853,50.0
214690.82613254283,2669881.494411994,50.0
214690.81891241335,2669881.403685402,50.0
214690.81089004726,2669881.302878078,50.0
214690.80206544456,2669881.1919900216,50.0
214690.79243860525,2669881.0710212328,50.0
214690.78200952933,2669880.9399717115,50.0
214690.7707782168,2669880.798841458,50.0
214690.75874466766,2669880.6476304717,50.0
214690.74590888192,2669880.4863387533,50.0
214690.73227085956,2669880.3149663024,50.0
214690.7178306006,2669880.133513119,50.0
214690.70258810502,2669879.9419792034,50.0
214690.68654337284,2669879.7403645553,50.0
214690.66969640405,2669879.5286691748,50.0
214690.65204719864,2669879.306893062,50.0
214690.63359575663,2669879.0750362165,50.0
214690.614342078,2669878.833098639,50.0
214690.59428616278,2669878.5810803287,50.0
214690.57342801095,2669878.318981286,50.0
214690.5517676225,2669878.046801511,50.0
214690.52930499744,2669877.764541004,50.0
214690.50604013578,2669877.472199764,50.0
214690.4819730375,2669877.169777792,50.0
214690.45710370262,2669876.8572750874,50.0
214690.43143213112,2669876.5346916504,50.0
214690.40495832302,2669876.202027481,50.0
214690.3776822783,2669875.8592825793,50.0
214690.349603997,2669875.506456945,50.0
214690.32072347906,2669875.1435505785,50.0
214690.29104072452,2669874.7705634795,50.0
214690.26055573337,2669874.387495648,50.0
214690.22926850562,2669873.9943470843,50.0
214690.19717904125,2669873.591117788,50.0
214690.16428734027,2669873.1778077595,50.0
214690.1305934027,2669872.7544169985,50.0
214690.0960972285,2669872.320945505,50.0
214690.0607988177,2669871.877393279,50.0
214690.02469817028,2669871.423760321,50.0
214689.98779528626,2669870.9600466304,50.0
214689.95009016563,2669870.4862522073,50.0
214689.9115828084,2669870.002377052,50.0
214689.87227321454,2669869.508421164,50.0
214689.83216138408,2669869.0043845437,50.0
214689.791247317,2669868.490267191,50.0
214689.74953101334,2669867.966069106,50.0
214689.70701247305,2669867.4317902885,50.0
214689.66369169616,2669866.8874307387,50.0
214689.61956868265,2669866.3329904564,50.0
214689.57464343254,2669865.7684694417,50.0
214689.52891594582,2669865.1938676946,50.0
214689.4823862225,2669864.609185215,50.0
214689.43505426255,2669864.014422003,50.0
214689.386920066,2669863.409578059,50.0
214689.33798363284,2669862.794653382,50.0
214689.28824496307,2669862.169647973,50.0
214689.2377040567,2669861.5345618315,50.0
214689.1863609137,2669860.8893949576,50.0
214689.1342155341,2669860.2341473512,50.0
214689.0812679179,2669859.5688190125,50.0
214689.0275180651,2669858.8934099413,50.0
214688.97296597567,2669858.207920138,50.0
214688.91761164964,2669857.512349602,50.0
214688.861455087,2669856.8066983335,50.0
214688.80449628775,2669856.0909663327,50.0
214688.7467352519,2669855.3651535995,50.0
214688.68817197942,2669854.629260134,50.0
214688.62880647034,2669853.883285936,50.0
214688.56863872465,2669853.1272310056,50.0
214688.50766874236,2669852.361095343,50.0
214688.44589652345,2669851.5848789476,50.0
214688.38332206794,2669850.79858182,50.0
214688.3199453758,2669850.00220396,50.0
214688.25576644708,2669849.1957453676,50.0
214688.19078528174,2669848.3792060427,50.0
214688.1250018798,2669847.5525859855,50.0
214688.05841624123,2669846.715885196,50.0
214687.99102836606,2669845.869103674,50.0
214687.92283825428,2669845.0122414194,50.0
214687.8538459059,2669844.1452984326,50.0
214687.7840513209,2669843.2682747133,50.0
214687.7134544993,2669842.3811702617,50.0
214687.64205544107,2669841.4839850776,50.0
214687.56985414625,2669840.576719161,50.0
214687.4968506148,2669839.6593725123,50.0
214687.42304484677,2669838.731945131,50.0
214687.34843684212,2669837.7944370173,50.0
214687.27302660086,2669836.846848171,50.0
214687.196814123,2669835.8891785927,50.0
214687.1197994085,2669834.921428282,50.0
214687.04198245742,2669833.9435972385,50.0
214686.96336326972,2669832.955685463,50.0
214686.88394184542,2669831.9576929547,50.0
214686.8037181845,2669830.949619714,50.0
214686.72269228697,2669829.9314657412,50.0
214686.64086415284,2669828.903231036,50.0
214686.5582337821,2669827.864915598,50.0
214686.47480117474,2669826.816519428,50.0
214686.39056633078,2669825.7580425255,50.0
214686.3055292502,2669824.6894848906,50.0
214686.21968993303,2669823.610846523,50.0
214686.13304837924,2669822.5221274234,50.0
214686.04560458884,2669821.4233275913,50.0
214685.95735856183,2669820.3144470267,50.0
214685.86831029822,2669819.1954857297,50.0
214685.778459798,2669818.0664437003,50.0
214685.68780706116,2669816.9273209386,50.0
214685.5963520877,2669815.7781174444,50.0
214685.50409487766,2669814.618833218,50.0
214685.411035431,2669813.449468259,50.0
214685.31717374772,2669812.2700225674,50.0
214685.22250982784,2669811.0804961435,50.0
214685.12704367135,2669809.8808889873,50.0
214685.03077527825,2669808.6712010987,50.0
214684.93370464855,2669807.4514324777,50.0
214684.83583178223,2669806.2215831243,50.0
214684.7371566793,2669804.9816530384,50.0
214684.63767933976,2669803.73164222,50.0
214684.53739976362,2669802.4715506695,50.0
214684.43631795087,2669801.2013783865,50.0
214684.3344339015,2669799.921125371,50.0
214684.23174761553,2669798.630791623,50.0
214684.12825909295,2669797.330377143,50.0
214684.02396833376,2669796.01988193,50.0
214683.91887533796,2669794.699305985,50.0
214683.81298010555,2669793.3686493076,50.0
214683.70628263653,2669792.0279118977,50.0
214683.5987829309,2669790.6770937555,50.0
214683.49048098866,2669789.3161948808,50.0
214683.38137680982,2669787.9452152736,50.0
214683.27147039436,2669786.564154934,50.0
214683.1607617423,2669785.173013862,50.0
214683.04925085363,2669783.771792058,50.0
214682.93693772834,2669782.360489521,50.0
214682.82382236645,2669780.939106252,50.0
214682.70990476795,2669779.5076422505,50.0
214682.59518493284,2669778.0660975166,50.0
214682.47966286112,2669776.61447205,50.0
214682.3633385528,2669775.1527658515,50.0
214682.24621200786,2669773.6809789203,50.0
214682.1282832263,2669772.1991112567,50.0
214682.00955220815,2669770.707162861,50.0
214681.8900189534,2669769.2051337324,50.0
214681.76968346201,2669767.6930238716,50.0
214681.64854573403,2669766.1708332784,50.0
214681.52660576944,2669764.638561953,50.0
214681.40386356824,2669763.096209895,50.0
214681.28031913043,2669761.5437771045,50.0
214681.155972456,2669759.9812635817,50.0
214681.03082354498,2669758.4086693265,50.0
214680.90487239734,2669756.825994339,50.0
214680.7781190131,2669755.233238619,50.0
214680.65056339224,2669753.6304021664,50.0
214680.52220553477,2669752.0174849816,50.0
214680.3930454407,2669750.3944870643,50.0
214680.26308311,2669748.7614084147,50.0
214680.13231854272,2669747.1182490326,50.0
214680.00075173881,2669745.465008918,50.0
214679.8683826983,2669743.8016880713,50.0
214679.73521142118,2669742.128286492,50.0
214679.60123790745,2669740.4448041804,50.0
214679.4664621571,2669738.7512411363,50.0
214679.33088417017,2669737.04759736,50.0
214679.1945039466,2669735.333872851,50.0
214679.05732148644,2669733.6100676097,50.0
214678.91933678967,2669731.876181636,50.0
214678.78054985628,2669730.13221493,50.0
214678.6409606863,2669728.3781674914,50.0
214678.50056927968,2669726.6140393205,50.0
214678.35937563647,2669724.839830417,50.0
214678.21737975665,2669723.0555407815,50.0
214678.07458164022,2669721.2611704133,50.0
214677.93098128718,2669719.456719313,50.0
214677.78657869753,2669717.64218748,50.0
214677.64137387127,2669715.8175749145,50.0
214677.4953668084,2669713.982881617,50.0
214677.34855750893,2669712.1381075867,50.0
214677.20094597284,2669710.283252824,50.0
214677.05253220015,2669708.418317329,50.0
214676.90331619084,2669706.543301102,50.0
214676.75329794493,2669704.658204142,50.0
214676.6024774624,2669702.76302645,50.0
214676.45085474328,2669700.8577680252,50.0
214676.29842978754,2669698.9424288683,50.0
214676.1452025952,2669697.017008979,50.0
214675.99117316623,2669695.081508357,50.0
214675.83634150066,2669693.135927003,50.0
214675.68070759848,2669691.1802649163,50.0
214675.5242714597,2669689.2145220973,50.0
214675.3670330843,2669687.238698546,50.0
214675.2089924723,2669685.252794262,50.0
214675.05014962368,2669683.256809246,50.0
214674.89050453846,2669681.250743497,50.0
214674.73005721663,2669679.234597016,50.0
214674.5688076582,2669677.2083698027,50.0
214674.40675586314,2669675.172061857,50.0
214674.24390183148,2669673.1256731786,50.0
214674.0802455632,2669671.069203768,50.0
214673.91578705833,2669669.002653625,50.0
214673.75052631684,2669666.9260227494,50.0
214673.58446333875,2669664.8393111415,50.0
214673.41759812404,2669662.7425188012,50.0
214673.24993067273,2669660.6356457286,50.0
214673.0814609848,2669658.5186919235,50.0
214672.91218906027,2669656.391657386,50.0
214672.74211489913,2669654.254542116,50.0
214672.57123850138,2669652.107346114,50.0
214672.39955986702,2669649.950069379,50.0
214672.22707899605,2669647.782711912,50.0
214672.05379588847,2669645.6052737124,50.0
214671.87971054428,2669643.4177547805,50.0
214671.70482296348,2669641.220155116,50.0
214671.52913314608,2669639.0124747194,50.0
214671.35264109206,2669636.7947135903,50.0
214671.17534680144,2669634.5668717287,50.0
214670.9972502742,2669632.328949135,50.0
214670.81835151036,2669630.0809458084,50.0
214670.6386505099,2669627.8228617497,50.0
214670.45814727285,2669625.5546969585,50.0
214670.27684179918,2669623.276451435,50.0
214670.0947340889,2669620.988125179,50.0
214669.911824142,2669618.6897181906,50.0
214669.7281119585,2669616.38123047,50.0
214669.5435975384,2669614.0626620166,50.0
214669.3582808817,2669611.734012831,50.0
214669.17216198836,2669609.395282913,50.0
214668.98524085843,2669607.0464722626,50.0
214668.79751749188,2669604.68758088,50.0
214668.60899188873,2669602.3186087646,50.0
214668.41966404897,2669599.939555917,50.0
214668.2295339726,2669597.550422337,50.0
214668.03860165962,2669595.1512080245,50.0
214667.84686711003,2669592.7419129796,50.0
214667.65433032383,2669590.3225372024,50.0
214667.65433032383,2669590.3225372024,50.0
214667.65088781193,2669590.307752625,50.0
214667.64400278815,2669590.2781834705,50.0
214667.63367525247,2669590.2338297386,50.0
214667.6199052049,2669590.1746914294,50.0
214667.60269264542,2669590.100768543,50.0
214667.58203757406,2669590.012061079,50.0
214667.5579399908,2669589.908569038,50.0
214667.53039989565,2669589.7902924195,50.0
214667.4994172886,2669589.657231224,50.0
214667.46499216967,2669589.5093854507,50.0
214667.42712453884,2669589.3467551004,50.0
214667.3858143961,2669589.169340173,50.0
214667.3410617415,2669588.977140668,50.0
214667.29286657498,2669588.7701565856,50.0
214667.24122889657,2669588.548387926,50.0
214667.18614870627,2669588.311834689,50.0
214667.12762600408,2669588.060496875,50.0
214667.06566079,2669587.7943744836,50.0
214667.000253064,2669587.513467515,50.0
214666.93140282613,2669587.217775969,50.0
214666.85911007636,2669586.9072998455,50.0
214666.7833748147,2669586.582039145,50.0
214666.70419704114,2669586.241993867,50.0
214666.6215767557,2669585.8871640116,50.0
214666.53551395834,2669585.517549579,50.0
214666.4460086491,2669585.133150569,50.0
214666.35306082797,2669584.733966982,50.0
214666.25667049494,2669584.3199988175,50.0
214666.15683765002,2669583.8912460757,50.0
214666.0535622932,2669583.4477087567,50.0
214665.9468444245,2669582.9893868603,50.0
214665.8366840439,2669582.5162803866,50.0
214665.7230811514,2669582.0283893356,50.0
214665.606035747,2669581.5257137073,50.0
214665.48554783073,2669581.0082535017,50.0
214665.36161740255,2669580.476008719,50.0
214665.23424446248,2669579.9289793586,50.0
214665.10342901052,2669579.367165421,50.0
214664.96917104666,2669578.7905669063,50.0
214664.8314705709,2669578.199183814,50.0
214664.69032758326,2669577.593016145,50.0
214664.54574208372,2669576.972063898,50.0
214664.3977140723,2669576.336327074,50.0
214664.24624354896,2669575.685805673,50.0
214664.09133051374,2669575.020499694,50.0
214663.93297496662,2669574.3404091382,50.0
214663.7711769076,2669573.645534005,50.0
214663.6059363367,2669572.9358742945,50.0
214663.4372532539,2669572.2114300067,50.0
214663.26512765922,2669571.4722011415,50.0
214663.08955955264,2669570.718187699,50.0
214662.91054893416,2669569.9493896794,50.0
214662.7280958038,2669569.1658070823,50.0
214662.54220016152,2669568.367439908,50.0
214662.35286200736,2669567.5542881563,50.0
214662.1600813413,2669566.7263518274,50.0
214661.96385816336,2669565.883630921,50.0
214661.76419247352,2669565.0261254376,50.0
214661.5610842718,2669564.1538353767,50.0
214661.35453355816,2669563.2667607386,50.0
214661.14454033264,2669562.364901523,50.0
214660.93110459522,2669561.4482577303,50.0
214660.7142263459,2669560.5168293603,50.0
214660.4939055847,2669559.570616413,50.0
214660.2701423116,2669558.6096188882,50.0
214660.04293652662,2669557.6338367863,50.0
214659.81228822973,2669556.643270107,50.0
214659.57819742095,2669555.6379188504,50.0
214659.34066410028,2669554.6177830165,50.0
214659.0996882677,2669553.5828626053,50.0
214658.85526992325,2669552.533157617,50.0
214658.6074090669,2669551.468668051,50.0
214658.35610569865,2669550.389393908,50.0
214658.1013598185,2669549.2953351876,50.0
214657.84317142647,2669548.18649189,50.0
214657.58154052254,2669547.062864015,50.0
214657.31646710672,2669545.9244515626,50.0
214657.047951179,2669544.771254533,50.0
214656.7759927394,2669543.603272926,50.0
214656.5005917879,2669542.420506742,50.0
214656.2217483245,2669541.2229559803,50.0
214655.9394623492,2669540.0106206415,50.0
214655.653733862,2669538.7835007254,50.0
214655.36456286293,2669537.541596232,50.0
214655.07194935196,2669536.2849071613,50.0
214654.7758933291,2669535.013433513,50.0
214654.47639479433,2669533.727175288,50.0
214654.17345374767,2669532.4261324853,50.0
214653.86707018912,2669531.1103051053,50.0
214653.55724411868,2669529.779693148,50.0
214653.24397553634,2669528.4342966136,50.0
214652.9272644421,2669527.0741155017,50.0
214652.607110836,2669525.6991498126,50.0
214652.28351471797,2669524.309399546,50.0
214651.95647608806,2669522.9048647024,50.0
214651.62599494625,2669521.4855452813,50.0
214651.29207129256,2669520.051441283,50.0
