xp,yp,Hour,ymdh,zp
194748.26175527967,2596184.954715116,hour=0,ymd=2022072412_50,50.0
192606.16798321105,2597767.262068806,hour=1,ymd=2022072411_50,50.0
190495.2815775419,2598691.773786951,hour=2,ymd=2022072410_50,50.0
188796.69564317114,2599153.7795024253,hour=3,ymd=2022072409_50,50.0
187434.58475689538,2598400.809228409,hour=4,ymd=2022072408_50,50.0
186450.90263496287,2597832.3346878476,hour=5,ymd=2022072407_50,50.0
185917.3531037722,2597400.7706787605,hour=6,ymd=2022072406_50,50.0
185909.1156419706,2597310.420268018,hour=7,ymd=2022072405_50,50.0
185992.40903393622,2597544.554799715,hour=8,ymd=2022072404_50,50.0
186315.069702056,2597787.291264454,hour=9,ymd=2022072403_50,50.0
186930.44167571957,2598202.676690029,hour=10,ymd=2022072402_50,50.0
187836.64987423713,2598759.6555406917,hour=11,ymd=2022072401_50,50.0
189046.42193713482,2599352.7155971285,hour=12,ymd=2022072400_50,50.0
191178.91610005195,2598492.1210028734,hour=13,ymd=2022072323_50,50.0
194090.52328058775,2597149.062902065,hour=14,ymd=2022072322_50,50.0
197116.3697614416,2596680.8923869412,hour=15,ymd=2022072321_50,50.0
199514.63471200014,2596587.997171468,hour=16,ymd=2022072320_50,50.0
201073.80100524123,2596442.2879333235,hour=17,ymd=2022072319_50,50.0
201354.8509777158,2596254.3975114264,hour=18,ymd=2022072318_50,50.0
201246.3262319758,2596454.719062727,hour=19,ymd=2022072317_50,50.0
200256.34805934574,2596589.7916301824,hour=20,ymd=2022072316_50,50.0
197763.78956824983,2596200.7219151855,hour=21,ymd=2022072315_50,50.0
194961.1446157142,2595963.4176306874,hour=22,ymd=2022072314_50,50.0
191694.13952425565,2596242.200027772,hour=23,ymd=2022072313_50,50.0
189664.4415791377,2597077.8692956204,hour=24,ymd=2022072312_50,50.0
187304.0803702518,2596825.251173976,hour=25,ymd=2022072311_50,50.0
184775.5815189525,2596744.921853086,hour=26,ymd=2022072310_50,50.0
182938.60561641934,2596551.094025476,hour=27,ymd=2022072309_50,50.0
182718.34516574699,2596499.00406952,hour=28,ymd=2022072308_50,50.0
182917.9790285516,2596360.0547673088,hour=29,ymd=2022072307_50,50.0
182976.02449894487,2596099.269308896,hour=30,ymd=2022072306_50,50.0
182981.41919504548,2595793.9027285865,hour=31,ymd=2022072305_50,50.0
183296.60324219312,2595489.129233501,hour=32,ymd=2022072304_50,50.0
183914.91143632377,2595204.448793671,hour=33,ymd=2022072303_50,50.0
184802.29071978177,2594974.6032730034,hour=34,ymd=2022072302_50,50.0
185932.93620291795,2594844.1266324287,hour=35,ymd=2022072301_50,50.0
188013.5742284886,2594343.878379684,hour=36,ymd=2022072300_50,50.0
190284.1154569916,2593537.5982121816,hour=37,ymd=2022072223_50,50.0
192021.82649787585,2591914.317748829,hour=38,ymd=2022072222_50,50.0
193783.85526593844,2591192.617727204,hour=39,ymd=2022072221_50,50.0
195572.97329425137,2589621.829958073,hour=40,ymd=2022072220_50,50.0
197987.34376012604,2588370.655824504,hour=41,ymd=2022072219_50,50.0
199814.48349177162,2588378.2623137617,hour=42,ymd=2022072218_50,50.0
200424.56996693532,2588740.4074117625,hour=43,ymd=2022072217_50,50.0
199670.13842388312,2589534.3489179844,hour=44,ymd=2022072216_50,50.0
197657.78393019806,2590848.467370324,hour=45,ymd=2022072215_50,50.0
194585.31398679386,2591254.0151988044,hour=46,ymd=2022072214_50,50.0
191281.46839416097,2592332.663886402,hour=47,ymd=2022072213_50,50.0
189404.25223214994,2593946.3775190376,hour=48,ymd=2022072212_50,50.0
186546.68833962153,2594345.773108498,hour=49,ymd=2022072211_50,50.0
184119.41091369162,2594247.3069119533,hour=50,ymd=2022072210_50,50.0
182657.8072223335,2594131.015421756,hour=51,ymd=2022072209_50,50.0
182437.54677166115,2594078.9254658003,hour=52,ymd=2022072208_50,50.0
182637.18063446577,2593939.976163589,hour=53,ymd=2022072207_50,50.0
182979.99840574502,2593831.733073415,hour=54,ymd=2022072206_50,50.0
182980.87118898635,2593831.3019954492,hour=55,ymd=2022072205_50,50.0
183049.59703869303,2593359.9653504123,hour=56,ymd=2022072204_50,50.0
183244.17254961212,2592408.382235401,hour=57,ymd=2022072203_50,50.0
