xp,yp,Hour,ymdh,zp
190461.6834224876,2492002.4987360626,hour=34,ymd=2022070502_50,50.0
191097.8895362582,2492546.6906881123,hour=35,ymd=2022070501_50,50.0
191784.76559960507,2493020.63426038,hour=36,ymd=2022070500_50,50.0
192956.94640192055,2492289.5693508624,hour=37,ymd=2022070423_50,50.0
194430.02844639533,2491568.429458277,hour=38,ymd=2022070422_50,50.0
194987.4752125334,2490853.282762782,hour=39,ymd=2022070421_50,50.0
195238.73861061447,2490092.7744586184,hour=40,ymd=2022070420_50,50.0
195640.41936667674,2489535.9786503925,hour=41,ymd=2022070419_50,50.0
196053.8208180111,2489212.3151004105,hour=42,ymd=2022070418_50,50.0
196382.92982662134,2489134.8855909123,hour=43,ymd=2022070417_50,50.0
196595.8640684005,2489300.1504350803,hour=44,ymd=2022070416_50,50.0
196724.87223513462,2489687.928503973,hour=45,ymd=2022070415_50,50.0
196866.33395370134,2490261.397226525,hour=46,ymd=2022070414_50,50.0
197180.75986687132,2490967.092670349,hour=47,ymd=2022070413_50,50.0
197994.08535734416,2487701.2457366264,hour=48,ymd=2022070412_50,50.0
198295.4495384576,2484217.681025458,hour=49,ymd=2022070411_50,50.0
198254.3003746694,2481012.0590177155,hour=50,ymd=2022070410_50,50.0
197983.79732988533,2478351.59301771,hour=51,ymd=2022070409_50,50.0
197942.89344230425,2476728.4604775175,hour=52,ymd=2022070408_50,50.0
197421.93815407288,2476832.2419099505,hour=53,ymd=2022070407_50,50.0
197030.35361749065,2476833.348035365,hour=54,ymd=2022070406_50,50.0
195900.41868582126,2476824.8699037316,hour=55,ymd=2022070405_50,50.0
194890.53884861004,2476522.103512054,hour=56,ymd=2022070404_50,50.0
194118.6077375425,2475770.686028292,hour=57,ymd=2022070403_50,50.0
192893.45094782245,2474871.89611203,hour=58,ymd=2022070402_50,50.0
191977.149215219,2473904.959856001,hour=59,ymd=2022070401_50,50.0
191465.4155464763,2473691.9158710134,hour=60,ymd=2022070400_50,50.0
191358.75524252225,2473827.544750213,hour=61,ymd=2022070323_50,50.0
191987.72995510642,2473868.6522078584,hour=62,ymd=2022070322_50,50.0
192540.6081811482,2474486.6681158612,hour=63,ymd=2022070321_50,50.0
193430.6382940108,2475543.6594340275,hour=64,ymd=2022070320_50,50.0
194283.62903615777,2476834.8044006,hour=65,ymd=2022070319_50,50.0
194975.527968652,2476845.224623401,hour=66,ymd=2022070318_50,50.0
194973.81223579534,2477197.6872049873,hour=67,ymd=2022070317_50,50.0
194417.78635857292,2477769.1417065863,hour=68,ymd=2022070316_50,50.0
193193.14378989526,2478578.7272002404,hour=69,ymd=2022070315_50,50.0
191555.15018669554,2479564.458304644,hour=70,ymd=2022070314_50,50.0
190259.16849879213,2480984.330540598,hour=71,ymd=2022070313_50,50.0
190815.91527528726,2478230.1590606053,hour=72,ymd=2022070312_50,50.0
191552.1131625738,2476250.0416692575,hour=73,ymd=2022070311_50,50.0
192703.6026410129,2474189.7877287124,hour=74,ymd=2022070310_50,50.0
193333.31740088054,2472778.230861277,hour=75,ymd=2022070309_50,50.0
193789.05018992015,2472352.625359819,hour=76,ymd=2022070308_50,50.0
194132.20633193143,2472631.1565864836,hour=77,ymd=2022070307_50,50.0
194145.80377779194,2473282.832802758,hour=78,ymd=2022070306_50,50.0
193866.39217517377,2473837.8458840256,hour=79,ymd=2022070305_50,50.0
193366.6667771995,2473833.115654145,hour=80,ymd=2022070304_50,50.0
192236.84339213968,2473832.8243122143,hour=81,ymd=2022070303_50,50.0
191595.68400414885,2473498.441680916,hour=82,ymd=2022070302_50,50.0
190950.5081645608,2473088.4091692646,hour=83,ymd=2022070301_50,50.0
190393.1473380536,2472937.2853768286,hour=84,ymd=2022070300_50,50.0
190115.9036570996,2473247.366079096,hour=85,ymd=2022070223_50,50.0
190446.0284609016,2473837.4030671124,hour=86,ymd=2022070222_50,50.0
191835.6995696243,2474049.942512535,hour=87,ymd=2022070221_50,50.0
192785.2328239981,2475065.9508145177,hour=88,ymd=2022070220_50,50.0
193626.62406882682,2476445.3037812137,hour=89,ymd=2022070219_50,50.0
194230.6012491364,2476831.674107197,hour=90,ymd=2022070218_50,50.0
194384.29845049643,2477058.118153173,hour=91,ymd=2022070217_50,50.0
193828.272573274,2477629.572654772,hour=92,ymd=2022070216_50,50.0
192603.63000459634,2478439.158148426,hour=93,ymd=2022070215_50,50.0
191051.27574771308,2479486.8482856783,hour=94,ymd=2022070214_50,50.0
189713.0418273773,2480886.9807494017,hour=95,ymd=2022070213_50,50.0
190273.88330589645,2478136.6758258524,hour=96,ymd=2022070212_50,50.0
191015.25711751395,2476131.1075524273,hour=97,ymd=2022070211_50,50.0
192173.62746334486,2474419.723004404,hour=98,ymd=2022070210_50,50.0
192963.3813894842,2472973.608669746,hour=99,ymd=2022070209_50,50.0
193419.1141785238,2472548.003168288,hour=100,ymd=2022070208_50,50.0
193762.27032053508,2472826.534394953,hour=101,ymd=2022070207_50,50.0
193775.8677663956,2473478.2106112274,hour=102,ymd=2022070206_50,50.0
193669.14261825607,2473836.290031332,hour=103,ymd=2022070205_50,50.0
193166.59753866718,2473835.8297820124,hour=104,ymd=2022070204_50,50.0
192038.0686389044,2473832.8216400347,hour=105,ymd=2022070203_50,50.0
191535.97306953222,2473446.8195203594,hour=106,ymd=2022070202_50,50.0
190890.79722994418,2473036.787008708,hour=107,ymd=2022070201_50,50.0
190333.43640343696,2472885.663216272,hour=108,ymd=2022070200_50,50.0
190056.19272248299,2473195.7439185395,hour=109,ymd=2022070123_50,50.0
190345.1456402693,2473832.081549605,hour=110,ymd=2022070122_50,50.0
191734.0970462192,2474045.505820625,hour=111,ymd=2022070121_50,50.0
192726.04371101075,2475032.301724045,hour=112,ymd=2022070120_50,50.0
193567.43495583945,2476411.654690741,hour=113,ymd=2022070119_50,50.0
194160.68458095603,2476839.3704832406,hour=114,ymd=2022070118_50,50.0
194315.06969888174,2477064.561053744,hour=115,ymd=2022070117_50,50.0
193759.04382165932,2477636.015555343,hour=116,ymd=2022070116_50,50.0
192534.40125298165,2478445.601048997,hour=117,ymd=2022070115_50,50.0
190991.62547056042,2479500.2210968495,hour=118,ymd=2022070114_50,50.0
189659.32289342248,2480903.1246180297,hour=119,ymd=2022070113_50,50.0
190219.49325798862,2478152.1859731586,hour=120,ymd=2022070112_50,50.0
190960.13842006438,2476150.2005908997,hour=121,ymd=2022070111_50,50.0
