xp,yp,Hour,ymdh,zp
225739.24299633075,2671834.8065580716,hour=89,ymd=2022051519_50,50.0
226419.0412471475,2671825.4378072834,hour=90,ymd=2022051518_50,50.0
227247.76851944943,2671786.818815834,hour=91,ymd=2022051517_50,50.0
227979.0649572745,2671749.156263289,hour=92,ymd=2022051516_50,50.0
228356.62953993902,2671829.745000365,hour=93,ymd=2022051515_50,50.0
228938.5164908193,2671541.753609429,hour=94,ymd=2022051514_50,50.0
230077.0426026605,2670457.5722476346,hour=95,ymd=2022051513_50,50.0
231167.52020221428,2671564.437014791,hour=96,ymd=2022051512_50,50.0
231650.23334388286,2673142.0592548354,hour=97,ymd=2022051511_50,50.0
231282.43620463312,2674378.6767204506,hour=98,ymd=2022051510_50,50.0
230650.5570165798,2674542.875079779,hour=99,ymd=2022051509_50,50.0
229525.37016272396,2674153.424499674,hour=100,ymd=2022051508_50,50.0
227970.67132591308,2673492.010144232,hour=101,ymd=2022051507_50,50.0
227879.35124947727,2672381.5376829486,hour=102,ymd=2022051506_50,50.0
227431.27733693869,2671469.888889689,hour=103,ymd=2022051505_50,50.0
226734.57397402675,2671097.7739043273,hour=104,ymd=2022051504_50,50.0
226001.52963073403,2670940.7388996817,hour=105,ymd=2022051503_50,50.0
225294.55412880928,2671006.2933021523,hour=106,ymd=2022051502_50,50.0
224979.47035799027,2671121.9681701176,hour=107,ymd=2022051501_50,50.0
224984.07188943998,2671253.13403807,hour=108,ymd=2022051500_50,50.0
224982.33621762917,2671536.324627638,hour=109,ymd=2022051423_50,50.0
224984.66865284406,2671817.910514597,hour=110,ymd=2022051422_50,50.0
225017.55006781445,2671827.921093818,hour=111,ymd=2022051421_50,50.0
225270.2565145515,2671823.4376252163,hour=112,ymd=2022051420_50,50.0
225742.5479126241,2671827.244758604,hour=113,ymd=2022051419_50,50.0
226420.9373711314,2671820.873179583,hour=114,ymd=2022051418_50,50.0
227249.66464343332,2671782.2541881334,hour=115,ymd=2022051417_50,50.0
227981.3693547723,2671744.2082664734,hour=116,ymd=2022051416_50,50.0
228352.46852304312,2671832.0449686563,hour=117,ymd=2022051415_50,50.0
228934.3554739234,2671544.05357772,hour=118,ymd=2022051414_50,50.0
230072.8815857646,2670459.8722159257,hour=119,ymd=2022051413_50,50.0
231163.35918531838,2671566.7369830823,hour=120,ymd=2022051412_50,50.0
231646.07232698696,2673144.3592231264,hour=121,ymd=2022051411_50,50.0
