xp,yp,Hour,ymdh,zp
301263.60048314865,2767355.824947714,hour=0,ymd=2022072012_50,50.0
300285.38037242304,2757352.3053244343,hour=1,ymd=2022072011_50,50.0
296113.5327771784,2745048.8192393174,hour=2,ymd=2022072010_50,50.0
289315.55657610606,2732472.1083773067,hour=3,ymd=2022072009_50,50.0
282531.5972585113,2723272.5031228056,hour=4,ymd=2022072008_50,50.0
277546.93385020207,2716872.2176324865,hour=5,ymd=2022072007_50,50.0
274272.54221428494,2708713.0275238594,hour=6,ymd=2022072006_50,50.0
271856.42645918886,2696410.2405264815,hour=7,ymd=2022072005_50,50.0
270043.0039939166,2681983.647831722,hour=8,ymd=2022072004_50,50.0
268451.3867811778,2667962.898292317,hour=9,ymd=2022072003_50,50.0
265343.6139998653,2652694.8084053537,hour=10,ymd=2022072002_50,50.0
260649.37029970373,2638621.7068279823,hour=11,ymd=2022072001_50,50.0
254132.19561352517,2627680.2603865704,hour=12,ymd=2022072000_50,50.0
247016.1939392605,2622269.332935675,hour=13,ymd=2022071923_50,50.0
239940.72783250298,2620640.6264332673,hour=14,ymd=2022071922_50,50.0
236847.87474164675,2620233.642031298,hour=15,ymd=2022071921_50,50.0
236251.8495670886,2620341.3353560576,hour=16,ymd=2022071920_50,50.0
235848.71605308662,2620144.907550485,hour=17,ymd=2022071919_50,50.0
235656.7956540541,2619603.4004722247,hour=18,ymd=2022071918_50,50.0
235679.30462168466,2618685.6694344888,hour=19,ymd=2022071917_50,50.0
235796.37664639327,2617833.7425915143,hour=20,ymd=2022071916_50,50.0
236022.67590563308,2617819.446461723,hour=21,ymd=2022071915_50,50.0
236722.49804663967,2617206.8192088613,hour=22,ymd=2022071914_50,50.0
236973.1713668027,2615368.364273452,hour=23,ymd=2022071913_50,50.0
238318.59865361388,2610100.408671529,hour=24,ymd=2022071912_50,50.0
239839.87478239584,2598048.630048991,hour=25,ymd=2022071911_50,50.0
238642.34444808803,2583118.3799391696,hour=26,ymd=2022071910_50,50.0
237134.80180888466,2568092.490654529,hour=27,ymd=2022071909_50,50.0
235532.97442520625,2551877.641413332,hour=28,ymd=2022071908_50,50.0
232583.59720037348,2537786.1316622803,hour=29,ymd=2022071907_50,50.0
228253.4285107053,2523934.612828494,hour=30,ymd=2022071906_50,50.0
222931.6432747937,2510621.930138857,hour=31,ymd=2022071905_50,50.0
217424.7540550477,2498521.2161574075,hour=32,ymd=2022071904_50,50.0
213016.59377631015,2487800.8260190794,hour=33,ymd=2022071903_50,50.0
208817.3418662793,2477238.96414283,hour=34,ymd=2022071902_50,50.0
206606.17560397676,2468717.470225812,hour=35,ymd=2022071901_50,50.0
205356.61632206134,2463288.264496566,hour=36,ymd=2022071900_50,50.0
203923.34497159935,2458509.3338718126,hour=37,ymd=2022071823_50,50.0
202555.90390904463,2454186.6239318857,hour=38,ymd=2022071822_50,50.0
200118.56042209483,2448585.672699974,hour=39,ymd=2022071821_50,50.0
