xp,yp,Hour,ymdh,zp
194748.26175527967,2596184.954715116,hour=0,ymd=2022060712_50,50.0
192408.37954180635,2596785.2766465824,hour=1,ymd=2022060711_50,50.0
189360.24930696882,2597082.6980941948,hour=2,ymd=2022060710_50,50.0
187157.28807560302,2596831.786049025,hour=3,ymd=2022060709_50,50.0
185701.23900848202,2596831.669382617,hour=4,ymd=2022060708_50,50.0
185302.05038758687,2596650.57820886,hour=5,ymd=2022060707_50,50.0
185604.6439377474,2596147.6761703156,hour=6,ymd=2022060706_50,50.0
186185.92785795726,2595787.7796766805,hour=7,ymd=2022060705_50,50.0
187308.83341481484,2595575.5121957967,hour=8,ymd=2022060704_50,50.0
189161.8464831779,2595429.1868036063,hour=9,ymd=2022060703_50,50.0
191419.58929193713,2596773.480733392,hour=10,ymd=2022060702_50,50.0
193616.26045153238,2598749.1968967626,hour=11,ymd=2022060701_50,50.0
194998.99791768886,2600836.1072375784,hour=12,ymd=2022060700_50,50.0
194980.49021815642,2602918.910382741,hour=13,ymd=2022060623_50,50.0
194983.99655327894,2603754.9625818776,hour=14,ymd=2022060622_50,50.0
194978.95103522338,2604100.411879995,hour=15,ymd=2022060621_50,50.0
194981.23506782897,2604163.11747403,hour=16,ymd=2022060620_50,50.0
194978.82745872944,2604302.42053561,hour=17,ymd=2022060619_50,50.0
194980.18320195883,2605011.707818591,hour=18,ymd=2022060618_50,50.0
195781.8109394586,2605920.304752296,hour=19,ymd=2022060617_50,50.0
197253.95532488584,2607056.9058480915,hour=20,ymd=2022060616_50,50.0
198131.91899969004,2609231.347967146,hour=21,ymd=2022060615_50,50.0
198428.87246723048,2611516.03475189,hour=22,ymd=2022060614_50,50.0
197988.74780755996,2612249.9953608867,hour=23,ymd=2022060613_50,50.0
194684.6450978121,2611822.5387934684,hour=24,ymd=2022060612_50,50.0
192094.0731401345,2611992.1543032997,hour=25,ymd=2022060611_50,50.0
190436.05295680597,2611823.4136997038,hour=26,ymd=2022060610_50,50.0
189458.64939730003,2611831.3525739633,hour=27,ymd=2022060609_50,50.0
189243.7975630699,2611838.736907611,hour=28,ymd=2022060608_50,50.0
189422.86434834584,2612333.641693885,hour=29,ymd=2022060607_50,50.0
189876.38683801278,2613370.9812140414,hour=30,ymd=2022060606_50,50.0
190539.08674132585,2614848.051102827,hour=31,ymd=2022060605_50,50.0
191501.08474474907,2615498.1877803006,hour=32,ymd=2022060604_50,50.0
192599.61843090638,2616237.1767807608,hour=33,ymd=2022060603_50,50.0
194193.87560802087,2616668.008957193,hour=34,ymd=2022060602_50,50.0
195850.87990959495,2616692.019909357,hour=35,ymd=2022060601_50,50.0
197955.3202064833,2616360.20491082,hour=36,ymd=2022060600_50,50.0
197975.95726204052,2615479.847469754,hour=37,ymd=2022060523_50,50.0
198000.33495767362,2613546.361644059,hour=38,ymd=2022060522_50,50.0
198501.56705140643,2611214.957224488,hour=39,ymd=2022060521_50,50.0
199816.1570398467,2609578.5234715636,hour=40,ymd=2022060520_50,50.0
200435.37948105804,2608827.3767349306,hour=41,ymd=2022060519_50,50.0
