lng,lat,Title,VI,date
120.45211846027765,23.60693404517049,52,543.4,2022-06-05 08:00:00
120.4554283601969,23.60348302678612,53,512.5,2022-06-05 07:00:00
120.46083441571248,23.60030006126353,54,428.9,2022-06-05 06:00:00
120.4667157035135,23.598773181241278,55,318.1,2022-06-05 05:00:00
120.47207506600353,23.599797962977608,56,212.2,2022-06-05 04:00:00
120.4764391820587,23.604213860595543,57,134.7,2022-06-05 03:00:00
120.47689617022858,23.60912869726474,58,95.3,2022-06-05 02:00:00
120.4729618226963,23.60927942553003,59,95.5,2022-06-05 01:00:00
120.47288105836094,23.60987683496927,60,125.2,2022-06-05 00:00:00
120.47291084912796,23.60941086892945,61,176.1,2022-06-04 23:00:00
120.47295225410475,23.60911289204747,62,243.2,2022-06-04 22:00:00
120.47501362299624,23.60915402255535,63,324.3,2022-06-04 21:00:00
120.48047502329683,23.60914981960548,64,411.8,2022-06-04 20:00:00
120.4878313624752,23.60913613661967,65,490.9,2022-06-04 19:00:00
120.49503398012222,23.60916870892868,66,541.5,2022-06-04 18:00:00
120.50020115189696,23.60924039928218,67,544.4,2022-06-04 17:00:00
120.50171150690456,23.609207418791364,68,505.9,2022-06-04 16:00:00
120.4988905457584,23.609250284451957,69,443.4,2022-06-04 15:00:00
120.49147399142566,23.609168411479168,70,1075.7,2022-06-04 14:00:00
120.48103798498646,23.60922127145928,71,439.6,2022-06-04 13:00:00
120.46406427074996,23.61262057531186,72,501.7,2022-06-04 12:00:00
120.4565042217274,23.613929183695923,73,595.4,2022-06-04 11:00:00
120.45559415980776,23.61071051901395,74,661.0,2022-06-04 10:00:00
120.45289328321952,23.60897873081357,75,689.6,2022-06-04 09:00:00
120.45211094628874,23.606963102344515,76,662.6,2022-06-04 08:00:00
120.45542084719712,23.603512084092326,77,573.9,2022-06-04 07:00:00
120.46082690417884,23.60032911881313,78,490.8,2022-06-04 06:00:00
120.46670819345704,23.59880223907745,79,409.8,2022-06-04 05:00:00
120.47206755714618,23.59982702110224,80,322.9,2022-06-04 04:00:00
120.47643214549318,23.604240853722985,81,234.5,2022-06-04 03:00:00
120.47678153882308,23.609081325643903,82,166.7,2022-06-04 02:00:00
120.4729278811242,23.6092911274667,83,143.7,2022-06-04 01:00:00
120.47286931593644,23.60988897874972,84,161.9,2022-06-04 00:00:00
120.4729104658042,23.60942299847292,85,210.1,2022-06-03 23:00:00
