lng,lat,Title,VI,date
120.44083333333332,23.46277777777698,0,91.1,2022-05-05 12:00:00
120.40563657717234,23.469904345208548,1,102.4,2022-05-05 11:00:00
120.36765804318246,23.468104913073265,2,110.9,2022-05-05 10:00:00
120.33676154405808,23.46686528427741,3,167.8,2022-05-05 09:00:00
120.31706945664894,23.4656315222963,4,246.1,2022-05-05 08:00:00
120.30976447094964,23.465956388396418,5,226.4,2022-05-05 07:00:00
120.3094090537673,23.46754483276598,6,139.6,2022-05-05 06:00:00
120.31409258279794,23.469377361132803,7,98.8,2022-05-05 05:00:00
120.32477267284813,23.4785857947712,8,101.7,2022-05-05 04:00:00
120.34289728887433,23.49459929511592,9,100.1,2022-05-05 03:00:00
120.36367162785592,23.51443934633616,10,82.8,2022-05-05 02:00:00
120.38895075411796,23.53242164934545,11,70.7,2022-05-05 01:00:00
120.41718667308676,23.549477790401863,12,53.5,2022-05-05 00:00:00
120.44389508264986,23.55679158731649,13,38.0,2022-05-04 23:00:00
120.4656876509056,23.559785846619075,14,33.5,2022-05-04 22:00:00
120.47929281566746,23.560868426395345,15,48.2,2022-05-04 21:00:00
120.4925524375903,23.5605796310618,16,99.8,2022-05-04 20:00:00
120.50606931019912,23.559427725395796,17,117.5,2022-05-04 19:00:00
120.5201583637056,23.55801900997819,18,121.6,2022-05-04 18:00:00
120.53953252697026,23.55390954463039,19,157.3,2022-05-04 17:00:00
120.55180813479964,23.53634814037216,20,98.0,2022-05-04 16:00:00
120.560803198776,23.52074742334158,21,38.5,2022-05-04 15:00:00
120.56456150875158,23.51191611158532,22,844.8,2022-05-04 14:00:00
120.56457680125664,23.506126906321903,23,91.4,2022-05-04 13:00:00
120.58920383149952,23.49737322766336,24,88.6,2022-05-04 12:00:00
120.61823175234316,23.49472079517115,25,75.6,2022-05-04 11:00:00
120.64287094124133,23.48520009984581,26,127.5,2022-05-04 10:00:00
120.65842823332252,23.47162435254534,27,163.5,2022-05-04 09:00:00
120.6753672877488,23.469504572653484,28,154.7,2022-05-04 08:00:00
120.68958734947604,23.464181249360244,29,100.4,2022-05-04 07:00:00
