Longitude,Latitude,Title
120.44083333333333,23.462777777776964,0
120.42772286756274,23.471527610670382,1
120.40752204405887,23.4843285978127,2
120.38805924263103,23.492101692329936,3
120.37063898134757,23.49657638401672,4
120.3577102490258,23.49649139617346,5
120.34941721622185,23.495544070957077,6
120.34538064653024,23.496039214438813,7
120.34461364840266,23.49754469789936,8
120.3444696909798,23.501730223603534,9
120.34522798112383,23.50832237628273,10
120.34744544463749,23.516504933143995,11
120.35179641253588,23.524586982982957,12
120.36055348939693,23.52860907867462,13
120.36889532757378,23.532421074766305,14
120.37585778989803,23.535829732695813,15
120.3804056506437,23.538784028312822,16
120.38143266327403,23.541375033526172,17
120.37786877658274,23.54378902348194,18
120.36910888885001,23.546120500114522,19
120.3551200811849,23.548325397783174,20
120.3342775927547,23.55148993289092,21
120.30273900746913,23.552338140189825,22
120.26322850103206,23.552094496698164,23
120.24373033081405,23.552003617856585,24
120.22419513949936,23.55046100924506,25
120.20445971592319,23.545666626379322,26
120.18700979696509,23.539145897254677,27
120.17082937874625,23.53209929584433,28
120.15922440548381,23.52892483399104,29
120.15053873023163,23.52600677526062,30
120.14410783654748,23.523489472264902,31
120.14051321684788,23.523441945121508,32
120.1389745264531,23.52343916612721,33
120.13897159513698,23.522977521728606,34
120.1409211498401,23.519938892097656,35
120.14610467415851,23.513673922630133,36
120.1548930941169,23.504091784596937,37
120.16490235771482,23.49384145984627,38
120.17289235633527,23.486670248665973,39
120.18277456877097,23.47950964158358,40
120.18841765253677,23.473009545353015,41
120.18663179754576,23.468368283369866,42
120.17916270164115,23.466939966094316,43
120.15864685334748,23.468560305768253,44
120.12629751807019,23.47452355276436,45
120.08757969827967,23.488609720977546,46
120.04999517615829,23.51200905367053,47
120.02303503866085,23.5385510483442,48
120.00416816242745,23.568988765976805,49
119.98989232012983,23.59104795682128,50
119.97594713450873,23.6095801818988,51
119.95930860446298,23.619510998420182,52
119.94332592372304,23.627497033073073,53
119.92894891559939,23.632504432255946,54
119.91980774014759,23.643772910540473,55
119.91485026680074,23.657879266215215,56
119.91602824844247,23.674070255655426,57
119.92228840976013,23.69190481376122,58
119.94166417903757,23.710539660560297,59
