lng,lat,Title,VI,date
120.44083333333332,23.46277777777698,0,219.5,2022-07-21 12:00:00
120.40876554019744,23.46941504380014,1,288.2,2022-07-21 11:00:00
120.37506223475616,23.468491931964756,2,304.4,2022-07-21 10:00:00
120.34641528119418,23.467979286390143,3,254.9,2022-07-21 09:00:00
120.32791946745368,23.46634552090429,4,228.2,2022-07-21 08:00:00
120.314188684732,23.46608177056101,5,250.0,2022-07-21 07:00:00
120.30309547756605,23.46725524203348,6,274.6,2022-07-21 06:00:00
120.29359688463502,23.468190178976133,7,270.3,2022-07-21 05:00:00
120.2895987929656,23.47274983158736,8,239.7,2022-07-21 04:00:00
120.29117551792594,23.48309232275967,9,200.9,2022-07-21 03:00:00
120.2945909941127,23.49898848644994,10,164.5,2022-07-21 02:00:00
120.3032235481291,23.511738962721573,11,141.1,2022-07-21 01:00:00
120.316839427336,23.5244384576986,12,118.0,2022-07-21 00:00:00
120.33299579400372,23.52457775164166,13,93.7,2022-07-20 23:00:00
120.3548937678012,23.527954130433315,14,69.7,2022-07-20 22:00:00
120.3883671870411,23.54507694219486,15,237.5,2022-07-20 21:00:00
120.42541827803892,23.556222028717706,16,361.8,2022-07-20 20:00:00
120.45407981472336,23.56803888049109,17,317.6,2022-07-20 19:00:00
120.4696527953018,23.581036678537245,18,235.9,2022-07-20 18:00:00
120.4729356513054,23.581162010392934,19,146.5,2022-07-20 17:00:00
120.47033601476888,23.581045215812196,20,94.9,2022-07-20 16:00:00
120.4597544317257,23.581042457899358,21,134.5,2022-07-20 15:00:00
120.44084297041312,23.57669859967892,22,1516.4,2022-07-20 14:00:00
120.41754115582592,23.561225334637854,23,106.5,2022-07-20 13:00:00
120.41234684292924,23.553690677174288,24,87.6,2022-07-20 12:00:00
120.41013148645324,23.55507600438249,25,62.5,2022-07-20 11:00:00
120.40506700170764,23.558402035146692,26,35.9,2022-07-20 10:00:00
120.39764533213793,23.56330398736975,27,12.9,2022-07-20 09:00:00
120.38894492367014,23.56912835126921,28,21.3,2022-07-20 08:00:00
