lng,lat,Title,VI,date
120.44083333333332,23.462777777776964,0,88.4,2022-04-20 12:00:00
120.4137552129994,23.467184824430248,1,85.3,2022-04-20 11:00:00
120.38965137750384,23.467939741971463,2,87.9,2022-04-20 10:00:00
120.37531331932172,23.46668494922056,3,78.8,2022-04-20 09:00:00
120.3712643362545,23.464821157916077,4,95.7,2022-04-20 08:00:00
120.37501032487438,23.46413917383941,5,95.3,2022-04-20 07:00:00
120.38370819765674,23.464940044933776,6,63.6,2022-04-20 06:00:00
120.39347982739896,23.46713357555259,7,47.8,2022-04-20 05:00:00
120.40572745041013,23.46897056196137,8,39.3,2022-04-20 04:00:00
120.41476123649522,23.470950355382,9,35.6,2022-04-20 03:00:00
120.4178669207328,23.474123230146816,10,37.5,2022-04-20 02:00:00
120.41834657990408,23.47652355714173,11,42.1,2022-04-20 01:00:00
120.41676146192432,23.478247502262303,12,49.2,2022-04-20 00:00:00
120.41364649426892,23.479420065064808,13,58.5,2022-04-19 23:00:00
120.41183822138572,23.48058283671938,14,104.8,2022-04-19 22:00:00
120.40899414534518,23.481394273562984,15,163.9,2022-04-19 21:00:00
120.40452370267316,23.4813228038602,16,192.2,2022-04-19 20:00:00
120.39845250686898,23.4798362932018,17,155.7,2022-04-19 19:00:00
120.39074614825508,23.476381453055293,18,123.3,2022-04-19 18:00:00
120.38172646845528,23.469799292215203,19,142.1,2022-04-19 17:00:00
120.37447922302096,23.45990950068041,20,164.7,2022-04-19 16:00:00
120.36643082339376,23.449818124852857,21,173.2,2022-04-19 15:00:00
120.357226436841,23.440491174531715,22,168.2,2022-04-19 14:00:00
120.3482372007318,23.440378809121107,23,157.7,2022-04-19 13:00:00
120.3079818452512,23.44135671750264,24,164.6,2022-04-19 12:00:00
120.273747504635,23.444486974883283,25,172.7,2022-04-19 11:00:00
120.25076154949612,23.448696932660862,26,302.3,2022-04-19 10:00:00
120.23619709983848,23.452129759226317,27,457.2,2022-04-19 09:00:00
120.2318772272338,23.455008620411437,28,503.4,2022-04-19 08:00:00
120.23692271464024,23.45739156087004,29,429.0,2022-04-19 07:00:00
120.24963517878696,23.45943457949123,30,308.5,2022-04-19 06:00:00
120.2698059549369,23.462657996108376,31,181.8,2022-04-19 05:00:00
120.29199927819268,23.46795163256786,32,82.6,2022-04-19 04:00:00
120.30843184831645,23.480139833249236,33,69.8,2022-04-19 03:00:00
120.3235255413919,23.49351890963125,34,78.1,2022-04-19 02:00:00
120.34179402854372,23.504128108955307,35,79.4,2022-04-19 01:00:00
120.35962895494002,23.513335900135772,36,76.8,2022-04-19 00:00:00
120.37564243909034,23.522022171055568,37,116.1,2022-04-18 23:00:00
120.3888932824935,23.52593256312575,38,223.3,2022-04-18 22:00:00
120.4000169601378,23.528746798048275,39,315.2,2022-04-18 21:00:00
120.4092662172662,23.531891487050533,40,360.6,2022-04-18 20:00:00
120.42071116306133,23.536661393109345,41,320.6,2022-04-18 19:00:00
120.43464983779734,23.54182645138364,42,161.1,2022-04-18 18:00:00
120.44705886466262,23.54683253343764,43,164.2,2022-04-18 17:00:00
120.4547336147332,23.554720658854865,44,170.5,2022-04-18 16:00:00
120.45802160658224,23.56858886353081,45,169.2,2022-04-18 15:00:00
120.45766389846386,23.58228460969943,46,159.8,2022-04-18 14:00:00
120.45670977010164,23.595275982190596,47,140.5,2022-04-18 13:00:00
120.42490561772968,23.59492387652552,48,154.0,2022-04-18 12:00:00
120.39254431519215,23.59321275978361,49,249.7,2022-04-18 11:00:00
120.37041477686977,23.59414146959588,50,351.6,2022-04-18 10:00:00
120.35908213243744,23.59887193396906,51,341.3,2022-04-18 09:00:00
120.35659180402894,23.608797491108025,52,276.0,2022-04-18 08:00:00
120.36311971454823,23.61888293473649,53,194.7,2022-04-18 07:00:00
120.37088085529332,23.630611285183665,54,120.7,2022-04-18 06:00:00
120.3792397005085,23.636820539974416,55,55.7,2022-04-18 05:00:00
120.3838105100008,23.64049681505557,56,24.0,2022-04-18 04:00:00
120.38553998852514,23.642917928666616,57,24.7,2022-04-18 03:00:00
120.3860160912397,23.642619098942514,58,29.4,2022-04-18 02:00:00
120.3857587203425,23.640225972333628,59,36.9,2022-04-18 01:00:00
120.38553068710806,23.636819130701014,60,45.1,2022-04-18 00:00:00
120.38593070116276,23.63680306108311,61,54.3,2022-04-17 23:00:00
120.38714286161073,23.636762037888136,62,63.6,2022-04-17 22:00:00
120.38936259328662,23.636778995591072,63,82.8,2022-04-17 21:00:00
120.3935982905629,23.63680376001024,64,190.4,2022-04-17 20:00:00
120.3997538404814,23.63866495122652,65,286.2,2022-04-17 19:00:00
120.40717389912538,23.64264565568589,66,365.1,2022-04-17 18:00:00
120.41671954340993,23.647159373630867,67,398.1,2022-04-17 17:00:00
120.4274554217772,23.64986974687267,68,347.7,2022-04-17 16:00:00
120.43704075353996,23.6526468636118,69,177.6,2022-04-17 15:00:00
120.44405548304064,23.651112346581574,70,1104.1,2022-04-17 14:00:00
