lng,lat,Title,VI,date
120.44083333333332,23.462777777776964,0,101.0,2022-04-17 12:00:00
120.4134303107692,23.46758093508024,1,100.7,2022-04-17 11:00:00
120.38573905303308,23.46973194842335,2,187.5,2022-04-17 10:00:00
120.36222122589356,23.468479054931397,3,308.8,2022-04-17 09:00:00
120.34409435526464,23.468418533294766,4,327.4,2022-04-17 08:00:00
120.33212448926702,23.468305152991867,5,278.0,2022-04-17 07:00:00
120.32490609200016,23.468344723784064,6,172.3,2022-04-17 06:00:00
120.32218523398352,23.46829214315167,7,102.6,2022-04-17 05:00:00
120.32366425018851,23.46771445602115,8,103.6,2022-04-17 04:00:00
120.32873051872492,23.46638293874677,9,104.2,2022-04-17 03:00:00
120.3366217188776,23.464654364213448,10,105.4,2022-04-17 02:00:00
120.34641106320504,23.46302074211829,11,109.6,2022-04-17 01:00:00
120.3574084159731,23.46046047933176,12,117.3,2022-04-17 00:00:00
120.36865752669958,23.45673944870482,13,119.8,2022-04-16 23:00:00
120.37871883151072,23.45423730846481,14,120.4,2022-04-16 22:00:00
120.3857473309198,23.451845061188315,15,125.8,2022-04-16 21:00:00
120.39029733045024,23.448782267073792,16,133.5,2022-04-16 20:00:00
120.39285145077751,23.446569103144597,17,139.5,2022-04-16 19:00:00
120.39308443040258,23.445363442463943,18,186.9,2022-04-16 18:00:00
120.39073035499706,23.445257865976057,19,163.4,2022-04-16 17:00:00
120.385582612949,23.446279617955017,20,117.1,2022-04-16 16:00:00
120.37504798374768,23.45043643976179,21,85.5,2022-04-16 15:00:00
120.36002471466364,23.4546086457736,22,169.9,2022-04-16 14:00:00
120.34613151730416,23.454732616139797,23,178.4,2022-04-16 13:00:00
120.31522070478589,23.46021731620076,24,168.6,2022-04-16 12:00:00
120.27065293063856,23.467790849499316,25,156.1,2022-04-16 11:00:00
120.22594884962751,23.467834436309804,26,124.4,2022-04-16 10:00:00
120.19501953226732,23.46772051281964,27,107.4,2022-04-16 09:00:00
120.17385123438108,23.46762708100028,28,103.7,2022-04-16 08:00:00
120.16089701179132,23.468805294561843,29,117.7,2022-04-16 07:00:00
120.15374577727256,23.46907431706708,30,137.2,2022-04-16 06:00:00
120.15056642858691,23.46743629062623,31,161.9,2022-04-16 05:00:00
120.15148502731242,23.46620925601091,32,184.4,2022-04-16 04:00:00
120.15308808877248,23.46271733292121,33,207.1,2022-04-16 03:00:00
120.15472611185076,23.457266055999387,34,230.1,2022-04-16 02:00:00
120.15593237011096,23.45034644337009,35,252.4,2022-04-16 01:00:00
120.15639842746702,23.44258879823469,36,274.8,2022-04-16 00:00:00
120.15856760404108,23.43498341641172,37,281.7,2022-04-15 23:00:00
120.16156920948436,23.42725007924497,38,278.3,2022-04-15 22:00:00
120.16357492520876,23.41956239139097,39,278.4,2022-04-15 21:00:00
120.16450061590088,23.412330375360227,40,281.2,2022-04-15 20:00:00
120.16262905996352,23.405287982678686,41,290.3,2022-04-15 19:00:00
120.1585411003317,23.398360605237578,42,305.1,2022-04-15 18:00:00
120.152532927978,23.39236164811981,43,327.9,2022-04-15 17:00:00
120.14466928147486,23.388107984408546,44,350.0,2022-04-15 16:00:00
120.13587072717962,23.38151696304639,45,359.2,2022-04-15 15:00:00
120.1248042975776,23.378198796473168,46,631.0,2022-04-15 14:00:00
120.10986094386048,23.38328698196684,47,494.2,2022-04-15 13:00:00
120.0711336943721,23.386459477276684,48,486.0,2022-04-15 12:00:00
120.03153571086872,23.394091834379708,49,495.4,2022-04-15 11:00:00
119.99928671392078,23.409805363489987,50,507.8,2022-04-15 10:00:00
119.97335210383864,23.427510582396213,51,507.4,2022-04-15 09:00:00
119.95463377067831,23.4447759103004,52,507.9,2022-04-15 08:00:00
119.94293658625092,23.457051441110156,53,514.8,2022-04-15 07:00:00
119.9360714765024,23.46476684929897,54,527.6,2022-04-15 06:00:00
119.93158468066736,23.4672425973879,55,543.1,2022-04-15 05:00:00
119.93009640698033,23.466003796120223,56,556.9,2022-04-15 04:00:00
119.93089263342227,23.46598457659894,57,566.9,2022-04-15 03:00:00
119.93234986298074,23.46598512844987,58,570.6,2022-04-15 02:00:00
119.9333930878769,23.465815400860315,59,566.1,2022-04-15 01:00:00
119.9331415757928,23.46576277743974,60,554.1,2022-04-15 00:00:00
119.93088708620178,23.465996764426578,61,536.0,2022-04-14 23:00:00
119.92425738559064,23.466392953125425,62,513.4,2022-04-14 22:00:00
119.90709376956544,23.47318159900412,63,490.2,2022-04-14 21:00:00
119.88600117034832,23.484132856532383,64,466.7,2022-04-14 20:00:00
119.86161197602688,23.502271269107347,65,443.5,2022-04-14 19:00:00
119.83816256560291,23.53034242225769,66,418.7,2022-04-14 18:00:00
119.82613464946655,23.56010084684983,67,389.3,2022-04-14 17:00:00
119.82345925724712,23.59106824615269,68,355.3,2022-04-14 16:00:00
119.83139043181984,23.632974810846548,69,321.2,2022-04-14 15:00:00
119.83554379970636,23.67150276855164,70,554.0,2022-04-14 14:00:00
119.83968881231992,23.70206744538345,71,327.3,2022-04-14 13:00:00
119.83516860402388,23.803101486681665,72,277.1,2022-04-14 12:00:00
119.8543302561238,23.92745177385138,73,203.4,2022-04-14 11:00:00
119.93083025737305,24.111586671100337,74,116.5,2022-04-14 10:00:00
120.04283740573872,24.28080506265629,75,57.7,2022-04-14 09:00:00
120.17350040897112,24.422320271741704,76,55.1,2022-04-14 08:00:00
120.2916401280156,24.52064766988746,77,159.9,2022-04-14 07:00:00
120.3907114211473,24.592355103723285,78,159.2,2022-04-14 06:00:00
120.53944246362684,24.665718515704526,79,219.1,2022-04-14 05:00:00
120.65262005561824,24.732948127273428,80,227.2,2022-04-14 04:00:00
120.74108547271663,24.78687811473852,81,197.6,2022-04-14 03:00:00
120.86742882040248,24.84926143002449,82,58.4,2022-04-14 02:00:00
120.98350776481637,24.92816030721421,83,60.8,2022-04-14 01:00:00
121.098300088576,25.02185478433592,84,64.0,2022-04-14 00:00:00
121.21014224586906,25.128994932755862,85,95.0,2022-04-13 23:00:00
121.31754068691534,25.240630217930995,86,84.9,2022-04-13 22:00:00
121.42059933397265,25.36334757980704,87,47.4,2022-04-13 21:00:00
121.52185732017928,25.49730642241029,88,170.1,2022-04-13 20:00:00
121.62153925300495,25.643400244560613,89,194.6,2022-04-13 19:00:00
121.72404573365664,25.80119440518698,90,168.8,2022-04-13 18:00:00
121.82720816239716,25.97154394715133,91,132.7,2022-04-13 17:00:00
121.92940941657784,26.148057480262885,92,121.9,2022-04-13 16:00:00
122.03318309345325,26.32902022063506,93,105.2,2022-04-13 15:00:00
122.14025334952262,26.50055030760235,94,306.8,2022-04-13 14:00:00
122.25111698924886,26.66774923849036,95,156.5,2022-04-13 13:00:00
122.34182285955752,26.744551602930564,96,150.8,2022-04-13 12:00:00
122.42929423036765,26.821046878627037,97,142.4,2022-04-13 11:00:00
122.51282592646432,26.90196779116667,98,140.5,2022-04-13 10:00:00
122.59156221160534,26.98884702677195,99,136.7,2022-04-13 09:00:00
122.66363380594493,27.078145961283028,100,124.5,2022-04-13 08:00:00
122.73082214109678,27.169443973068788,101,128.9,2022-04-13 07:00:00
122.79178326674352,27.259234801845533,102,137.9,2022-04-13 06:00:00
122.85336403160032,27.34946382309911,103,121.2,2022-04-13 05:00:00
122.91379075895271,27.443076784200265,104,135.2,2022-04-13 04:00:00
122.97166720426269,27.534743779222836,105,118.5,2022-04-13 03:00:00
123.02158614047693,27.624154361674705,106,125.4,2022-04-13 02:00:00
123.07413794707313,27.71793693881067,107,139.0,2022-04-13 01:00:00
123.12525964909032,27.81465032574636,108,150.3,2022-04-13 00:00:00
123.17085867090164,27.91910719172225,109,155.3,2022-04-12 23:00:00
123.20936822708862,28.02685065611996,110,171.9,2022-04-12 22:00:00
123.24555678112463,28.138153099754973,111,187.6,2022-04-12 21:00:00
123.27963049380624,28.25152866959518,112,211.7,2022-04-12 20:00:00
123.31406451138628,28.3666862513141,113,208.8,2022-04-12 19:00:00
123.34951019867437,28.488135729875808,114,206.7,2022-04-12 18:00:00
123.38106637918332,28.61495939764112,115,208.9,2022-04-12 17:00:00
123.41423093196627,28.749825405971173,116,213.4,2022-04-12 16:00:00
123.44103067278056,28.886099370229424,117,193.0,2022-04-12 15:00:00
123.46279982052944,29.027344758521817,118,208.6,2022-04-12 14:00:00
123.49261087622128,29.18797195324559,119,123.9,2022-04-12 13:00:00
123.55337737482812,29.25972122506462,120,113.1,2022-04-12 12:00:00
120.28805555555556,22.632499999999148,0,83.6,2022-04-17 12:00:00
120.306236268953,22.619961533420422,1,64.1,2022-04-17 11:00:00
120.32523200120194,22.610566670314988,2,64.8,2022-04-17 10:00:00
120.3438963383044,22.59976005195261,3,69.8,2022-04-17 09:00:00
120.35734819314,22.599836855852136,4,53.4,2022-04-17 08:00:00
120.36424100807024,22.599306950010003,5,49.1,2022-04-17 07:00:00
120.36938223654629,22.59783146185012,6,34.2,2022-04-17 06:00:00
120.37374657451264,22.595013714995734,7,37.7,2022-04-17 05:00:00
120.37804937602426,22.590648904694856,8,42.2,2022-04-17 04:00:00
120.38274664992645,22.584724166346646,9,43.1,2022-04-17 03:00:00
120.3868472282138,22.5792381675358,10,40.2,2022-04-17 02:00:00
120.387686344114,22.57869964763833,11,36.9,2022-04-17 01:00:00
120.3887723733339,22.57781800422632,12,34.1,2022-04-17 00:00:00
120.3899566876222,22.576996701447683,13,33.0,2022-04-16 23:00:00
